city_id,ObsTime,StnPres,Temperature,RH,WS,Precp,typhoon,typhoon_name
NTO,2025/10/14,901.97,20.04,92.13,0.59,0.0,0,
CYQ,2025/10/14,977.82,24.88,91.47,0.68,0.01,0,
ILN,2025/10/14,956.37,23.06,91.65,1.15,0.1,0,
PIF,2025/10/14,997.1,25.71,91.61,1.22,2.01,0,
CHA,2025/10/14,1010.79,26.97,89.03,0.76,0.0,0,
NTP,2025/10/14,995.66,25.49,88.04,0.75,0.0,0,
HSC,2025/10/14,974.39,23.46,91.54,0.71,0.0,0,
TAO,2025/10/14,989.67,25.57,85.45,0.6,0.0,0,
TXG,2025/10/14,941.38,22.61,86.49,0.81,0.01,0,
TPE,2025/10/14,991.92,26.33,81.84,0.75,0.0,0,
TNN,2025/10/14,1009.7,27.12,86.83,0.83,0.0,0,
TTT,2025/10/14,982.6,24.44,90.25,1.02,0.51,0,
HUA,2025/10/14,976.01,23.54,91.58,0.77,2.77,0,
MIA,2025/10/14,985.46,24.31,89.49,0.63,0.0,0,
YUN,2025/10/14,1004.6,26.14,92.33,0.46,0.0,0,
KHH,2025/10/14,1005.57,27.08,86.23,0.79,0.45,0,
