ObsDate,city_id,ObsTime,StnPres,Temperature,RH,WS,Precp,typhoon,typhoon_name
2025-10-11,CHA,2025/10/11,1007.69,27.71,89.0,0.5,0.0,0,
2025-10-11,CYQ,2025/10/11,974.45,25.41,89.93,0.94,0.0,0,
2025-10-11,HSC,2025/10/11,971.34,23.54,88.65,0.68,0.0,0,
2025-10-11,HUA,2025/10/11,974.15,23.15,89.84,0.67,0.0,0,
2025-10-11,ILN,2025/10/11,954.17,22.38,91.48,1.3,0.04,0,
2025-10-11,KHH,2025/10/11,1003.43,27.45,85.58,0.86,0.0,0,
2025-10-11,MIA,2025/10/11,983.05,24.57,90.05,0.65,0.0,0,
2025-10-11,NTO,2025/10/11,901.05,20.85,83.79,0.89,0.01,0,
2025-10-11,NTP,2025/10/11,993.77,25.42,87.93,1.64,0.03,0,
2025-10-11,PIF,2025/10/11,994.69,26.11,88.1,2.18,0.0,0,
2025-10-11,TAO,2025/10/11,984.5,25.36,79.94,1.74,0.0,0,
2025-10-11,TNN,2025/10/11,1007.12,27.34,87.81,1.01,0.0,0,
2025-10-11,TPE,2025/10/11,989.46,26.15,82.32,1.56,0.0,0,
2025-10-11,TTT,2025/10/11,980.82,24.5,88.22,1.1,0.0,0,
2025-10-11,TXG,2025/10/11,935.89,22.86,81.08,0.85,0.0,0,
2025-10-11,YUN,2025/10/11,1001.74,26.83,90.69,1.0,0.0,0,
2025-10-13,CHA,2025/10/13,1010.48,26.85,86.11,0.53,0.0,0,
2025-10-13,CYQ,2025/10/13,977.66,24.66,90.09,0.54,0.7,0,
2025-10-13,HSC,2025/10/13,974.07,23.35,88.92,0.72,0.0,0,
2025-10-13,HUA,2025/10/13,976.26,23.44,93.82,0.63,5.41,0,
2025-10-13,ILN,2025/10/13,956.33,23.19,92.65,1.05,0.08,0,
2025-10-13,KHH,2025/10/13,1005.57,26.95,85.08,0.71,0.54,0,
2025-10-13,MIA,2025/10/13,985.79,23.66,87.4,0.67,0.0,0,
2025-10-13,NTO,2025/10/13,903.54,19.9,90.71,0.86,0.16,0,
2025-10-13,NTP,2025/10/13,995.73,25.36,86.33,1.02,0.0,0,
2025-10-13,PIF,2025/10/13,997.11,25.91,91.43,1.18,2.41,0,
2025-10-13,TAO,2025/10/13,987.19,25.48,81.97,0.89,0.0,0,
2025-10-13,TNN,2025/10/13,1009.54,26.91,85.44,0.56,0.31,0,
2025-10-13,TPE,2025/10/13,990.89,25.91,83.56,0.52,0.0,0,
2025-10-13,TTT,2025/10/13,982.79,24.62,90.29,1.09,0.2,0,
2025-10-13,TXG,2025/10/13,937.68,22.18,83.34,0.97,0.0,0,
2025-10-13,YUN,2025/10/13,1004.29,25.89,90.29,0.63,0.0,0,
2025-10-14,CHA,2025/10/14,1010.79,26.97,89.03,0.76,0.0,0,
2025-10-14,CYQ,2025/10/14,977.82,24.88,91.47,0.68,0.01,0,
2025-10-14,HSC,2025/10/14,974.39,23.46,91.54,0.71,0.0,0,
2025-10-14,HUA,2025/10/14,976.01,23.54,91.58,0.77,2.77,0,
2025-10-14,ILN,2025/10/14,956.37,23.06,91.65,1.15,0.1,0,
2025-10-14,KHH,2025/10/14,1005.57,27.08,86.23,0.79,0.45,0,
2025-10-14,MIA,2025/10/14,985.46,24.31,89.49,0.63,0.0,0,
2025-10-14,NTO,2025/10/14,901.97,20.04,92.13,0.59,0.0,0,
2025-10-14,NTP,2025/10/14,995.66,25.49,88.04,0.75,0.0,0,
2025-10-14,PIF,2025/10/14,997.1,25.71,91.61,1.22,2.01,0,
2025-10-14,TAO,2025/10/14,989.67,25.57,85.45,0.6,0.0,0,
2025-10-14,TNN,2025/10/14,1009.7,27.12,86.83,0.83,0.0,0,
2025-10-14,TPE,2025/10/14,991.92,26.33,81.84,0.75,0.0,0,
2025-10-14,TTT,2025/10/14,982.6,24.44,90.25,1.02,0.51,0,
2025-10-14,TXG,2025/10/14,941.38,22.61,86.49,0.81,0.01,0,
2025-10-14,YUN,2025/10/14,1004.6,26.14,92.33,0.46,0.0,0,
2025-10-15,CHA,2025/10/15,1009.98,27.31,91.82,0.74,0.0,0,
2025-10-15,CYQ,2025/10/15,976.41,25.18,92.98,0.48,0.21,0,
2025-10-15,HSC,2025/10/15,973.55,23.74,90.69,0.63,0.0,0,
2025-10-15,HUA,2025/10/15,974.12,23.49,91.76,0.81,0.7,0,
2025-10-15,ILN,2025/10/15,956.5,23.4,90.59,1.6,0.44,0,
2025-10-15,KHH,2025/10/15,1005.12,26.77,89.66,0.71,6.5,0,
2025-10-15,MIA,2025/10/15,984.07,24.88,90.9,0.95,0.0,0,
2025-10-15,NTO,2025/10/15,901.21,20.38,92.51,0.64,0.1,0,
2025-10-15,NTP,2025/10/15,995.49,26.34,77.6,2.29,0.02,0,
2025-10-15,PIF,2025/10/15,996.53,26.01,88.97,1.85,3.13,0,
2025-10-15,TAO,2025/10/15,988.87,25.85,76.06,1.08,0.0,0,
2025-10-15,TNN,2025/10/15,1009.18,26.92,89.85,0.68,0.46,0,
2025-10-15,TPE,2025/10/15,996.76,27.17,67.17,1.98,0.0,0,
2025-10-15,TTT,2025/10/15,982.77,24.59,88.38,1.34,1.25,0,
2025-10-15,TXG,2025/10/15,937.84,22.7,89.45,1.05,0.03,0,
2025-10-15,YUN,2025/10/15,1004.15,26.52,93.23,0.79,0.0,0,
