年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2020,新北市,木瓜,5098,4911,3.32,3.21,12.743,19495.639,62.581,木瓜
2020,臺北市,木瓜,4404,4404,3.06,3.06,9.929,14289.542,43.726,木瓜
2020,桃園市,木瓜,3498,3076,4.2,3.73,21.704,17898.66,66.762,木瓜
2020,臺中市,木瓜,25598,25492,15.05,14.99,26.245,44633.089,669.05,木瓜
2020,臺南市,木瓜,1248941,1239397,719.02,713.08,28.806,50068.182,35702.619,木瓜
2020,高雄市,木瓜,501937,473523,281.3,265,31.641,56537.834,14982.526,木瓜
2020,宜蘭縣,木瓜,8792,8792,6.37,6.37,17.414,24035.008,153.103,木瓜
2020,新竹縣,木瓜,9458,9242,6.4,6.28,27.687,40745.223,255.88,木瓜
2020,苗栗縣,木瓜,53117,53117,32.73,32.73,20.266,32889.704,1076.48,木瓜
2020,彰化縣,木瓜,68521,68062,39.41,39.13,22.641,39380.552,1540.961,木瓜
2020,南投縣,木瓜,687699,681099,391.5,387.8,32.492,57067.009,22130.586,木瓜
2020,雲林縣,木瓜,337147,322594,196.34,187.86,33.305,57191.675,10744.028,木瓜
2020,嘉義縣,木瓜,441332,394872,265.4,237.1,32.404,53966.229,12795.393,木瓜
2020,屏東縣,木瓜,1154796,1093520,690.44,653.36,31.391,52538.917,34326.827,木瓜
2020,臺東縣,木瓜,99515,82715,76.12,62.12,21.504,28633.999,1778.744,木瓜
2020,花蓮縣,木瓜,100914,92298,57.32,52.58,15.565,27322.994,1436.643,木瓜
2020,澎湖縣,木瓜,942,942,1.41,1.41,8.567,5723.404,8.07,木瓜
2020,基隆市,木瓜,-,-,-,-,-,-,-,木瓜
2020,新竹市,木瓜,246,246,0.14,0.14,27.512,48342.857,6.768,木瓜
2020,嘉義市,木瓜,18534,18534,10.41,10.41,29.499,52520.461,546.738,木瓜
2020,金門縣,木瓜,540,540,0.27,0.27,10.256,20511.111,5.538,木瓜
2020,連江縣,木瓜,-,-,-,-,-,-,-,木瓜
2021,新北市,木瓜,5150,4843,3.34,3.17,12.898,19704.416,62.463,木瓜
2021,臺北市,木瓜,4431,4431,3.08,3.08,10.002,14389.286,44.319,木瓜
2021,桃園市,木瓜,4640,4403,5.46,5.21,20.8,17578.119,91.582,木瓜
2021,臺中市,木瓜,34266,31620,19.93,18.46,23.694,40585.374,749.206,木瓜
2021,臺南市,木瓜,1210904,1186704,699.14,684.11,25.782,44723.087,30595.511,木瓜
2021,高雄市,木瓜,509981,507577,286.87,285.59,29.255,51994.128,14849.003,木瓜
2021,宜蘭縣,木瓜,8965,8965,6.46,6.46,17.755,24639.938,159.174,木瓜
2021,新竹縣,木瓜,9731,9731,6.5,6.5,27.17,40675.846,264.393,木瓜
2021,苗栗縣,木瓜,55926,55926,33.75,33.75,20.714,34324.504,1158.452,木瓜
2021,彰化縣,木瓜,67683,67683,38.89,38.89,21.614,37616.354,1462.9,木瓜
2021,南投縣,木瓜,706354,670336,402.07,381.88,27.253,47838.86,18268.704,木瓜
2021,雲林縣,木瓜,342662,329651,199.41,191.84,27.656,47522.571,9116.73,木瓜
2021,嘉義縣,木瓜,448539,397089,270.73,239.03,25.53,42411.237,10137.558,木瓜
2021,屏東縣,木瓜,1187971,1147043,710.59,685.54,25.361,42434.681,29090.671,木瓜
2021,臺東縣,木瓜,66046,66046,49.17,49.17,21.304,28616.067,1407.052,木瓜
2021,花蓮縣,木瓜,67757,63027,38.35,35.65,14.423,25498.822,909.033,木瓜
2021,澎湖縣,木瓜,845,845,1.29,1.29,8.517,5579.07,7.197,木瓜
2021,基隆市,木瓜,72,72,0.04,0.04,6,10800,0.432,木瓜
2021,新竹市,木瓜,246,246,0.14,0.14,27.451,48235.714,6.753,木瓜
