年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2020,新北市,桃,2678,1578,4.79,3.19,13.404,6630.721,21.152,桃
2020,臺北市,桃,-,-,-,-,-,-,-,桃
2020,桃園市,桃,59127,59099,236.19,236.13,18.977,4749.477,1121.494,桃
2020,臺中市,桃,456684,455716,1194.68,1192.26,23.806,9099.244,10848.665,桃
2020,臺南市,桃,586,586,1.39,1.39,26.089,10998.561,15.288,桃
2020,高雄市,桃,26599,26599,88.15,88.15,15.469,4667.635,411.452,桃
2020,宜蘭縣,桃,8354,7901,24.83,23.32,31.153,10554.974,246.142,桃
2020,新竹縣,桃,46233,46233,153.75,153.75,21.813,6559.2,1008.477,桃
2020,苗栗縣,桃,32618,32618,89.75,89.75,20.983,7625.928,684.427,桃
2020,彰化縣,桃,3593,3593,8.92,8.92,19.714,7941.031,70.834,桃
2020,南投縣,桃,39399,39399,119.3,119.3,24.132,7969.556,950.768,桃
2020,雲林縣,桃,2099,2099,6.48,6.48,19.411,6287.654,40.744,桃
2020,嘉義縣,桃,8379,8139,24.55,23.95,33.965,11542.338,276.439,桃
2020,屏東縣,桃,2040,2040,5.86,5.86,21.477,7476.792,43.814,桃
2020,臺東縣,桃,11746,11746,32.32,32.32,16.908,6144.926,198.604,桃
2020,花蓮縣,桃,10088,9746,27.63,26.73,16.837,6138.908,164.093,桃
2020,澎湖縣,桃,-,-,-,-,-,-,-,桃
2020,基隆市,桃,5,5,0.01,0.01,14,7000,0.07,桃
2020,新竹市,桃,3,3,0.01,0.01,29,8700,0.087,桃
2020,嘉義市,桃,-,-,-,-,-,-,-,桃
2020,金門縣,桃,-,-,-,-,-,-,-,桃
2020,連江縣,桃,-,-,-,-,-,-,-,桃
2021,新北市,桃,2703,1680,4.82,3.41,13.464,6633.138,22.619,桃
2021,臺北市,桃,-,-,-,-,-,-,-,桃
2021,桃園市,桃,58735,57549,234.51,229.93,40.854,10225.429,2351.133,桃
2021,臺中市,桃,457126,456714,1195.86,1194.83,22.442,8578.3,10249.61,桃
2021,臺南市,桃,838,786,2.02,1.89,25.812,10734.392,20.288,桃
2021,高雄市,桃,26492,26492,87.77,87.77,12.811,3866.731,339.383,桃
2021,宜蘭縣,桃,7895,7646,23.54,22.71,29.816,10038.309,227.97,桃
2021,新竹縣,桃,39873,39873,132.55,132.55,26.44,7953.429,1054.227,桃
2021,苗栗縣,桃,32824,32824,90.34,90.34,21.238,7716.56,697.114,桃
2021,彰化縣,桃,3422,3382,8.43,8.33,20.06,8144.538,67.844,桃
2021,南投縣,桃,40292,39564,121.8,119.54,22.345,7395.332,884.038,桃
2021,雲林縣,桃,1827,1827,5.74,5.74,19.892,6331.359,36.342,桃
2021,嘉義縣,桃,8535,8507,24.93,24.85,33.548,11484.789,285.397,桃
