年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2020,新北市,芒果,828,696,1.89,1.58,15.708,6919.62,10.933,芒果
2020,臺北市,芒果,-,-,-,-,-,-,-,芒果
2020,桃園市,芒果,1307,686,2.89,1.54,20.547,9152.597,14.095,芒果
2020,臺中市,芒果,46867,46516,126.88,125.8,26.251,9706.502,1221.078,芒果
2020,臺南市,芒果,3479599,3471274,7274.67,7257.19,21.256,10167.292,73785.973,芒果
2020,高雄市,芒果,613530,612500,1907.88,1904.76,26.153,8409.75,16018.555,芒果
2020,宜蘭縣,芒果,2965,2596,8.17,7.13,28.772,10475.596,74.691,芒果
2020,新竹縣,芒果,844,844,2.73,2.73,21.047,6506.96,17.764,芒果
2020,苗栗縣,芒果,5300,5150,13.8,13.5,27.91,10647.185,143.737,芒果
2020,彰化縣,芒果,57123,57123,145.47,145.47,26.171,10276.82,1494.969,芒果
2020,南投縣,芒果,41756,40733,104.17,101.91,30.947,12369.198,1260.545,芒果
2020,雲林縣,芒果,53273,47263,128.44,112.06,27.099,11429.52,1280.792,芒果
2020,嘉義縣,芒果,142970,142331,327.97,326.46,27.845,12139.735,3963.138,芒果
2020,屏東縣,芒果,2343120,2287817,5810.04,5683.79,30.167,12142.699,69016.551,芒果
2020,臺東縣,芒果,131044,122045,313.33,292.89,20.894,8706.299,2549.988,芒果
2020,花蓮縣,芒果,52077,25094,119.79,58.66,13.378,5723.014,335.712,芒果
2020,澎湖縣,芒果,4,-,0.01,-,-,-,-,芒果
2020,基隆市,芒果,30,30,0.1,0.1,16,4800,0.48,芒果
2020,新竹市,芒果,410,410,0.9,0.9,20.768,9461.111,8.515,芒果
2020,嘉義市,芒果,10677,10677,24.52,24.52,31.818,13854.69,339.717,芒果
2020,金門縣,芒果,-,-,-,-,-,-,-,芒果
2020,連江縣,芒果,-,-,-,-,-,-,-,芒果
2021,新北市,芒果,864,741,1.98,1.71,15.646,6780.117,11.594,芒果
2021,臺北市,芒果,-,-,-,-,-,-,-,芒果
2021,桃園市,芒果,1472,998,3.44,2.27,17.607,7740.969,17.572,芒果
2021,臺中市,芒果,47098,46643,127.51,126.37,25.931,9570.935,1209.479,芒果
2021,臺南市,芒果,3468990,3465109,7244.8,7236.7,23.884,11436.314,82761.171,芒果
2021,高雄市,芒果,624214,623282,1940.2,1937.77,23.546,7573.465,14675.634,芒果
2021,宜蘭縣,芒果,2690,2435,7.64,6.85,34.195,12155.62,83.266,芒果
2021,新竹縣,芒果,1057,1057,3.28,3.28,21.721,6999.695,22.959,芒果
2021,苗栗縣,芒果,6027,6027,15.14,15.14,28.961,11529.062,174.55,芒果
2021,彰化縣,芒果,68460,68439,169.99,169.93,25.093,10106.026,1717.317,芒果
2021,南投縣,芒果,43791,42893,109.95,108.05,28.071,11143.295,1204.033,芒果
2021,雲林縣,芒果,60411,59755,145.59,144.25,27.077,11216.555,1617.988,芒果
2021,嘉義縣,芒果,143394,142866,329.68,328.48,25.593,11131.287,3656.405,芒果
2021,屏東縣,芒果,2339166,2291787,5789.57,5677.65,26.616,10743.507,60997.874,芒果
2021,臺東縣,芒果,137894,132419,330.73,318.18,20.774,8645.748,2750.904,芒果
2021,花蓮縣,芒果,54449,27275,123.71,62.47,14.803,6463.31,403.763,芒果
2021,澎湖縣,芒果,-,-,-,-,-,-,-,芒果
2021,基隆市,芒果,30,30,0.1,0.1,16,4800,0.48,芒果
2021,新竹市,芒果,592,410,1.3,0.9,29.671,13516.667,12.165,芒果
2021,嘉義市,芒果,10843,10843,24.77,24.77,31.8,13920.468,344.81,芒果
2021,金門縣,芒果,-,-,-,-,-,-,-,芒果
2021,連江縣,芒果,-,-,-,-,-,-,-,芒果
2022,新北市,芒果,1587,1404,3.34,2.96,11.608,5506.081,16.298,芒果
2022,臺北市,芒果,-,-,-,-,-,-,-,芒果
2022,桃園市,芒果,2308,1168,5.43,2.68,17.654,7694.03,20.62,芒果
2022,臺中市,芒果,47535,46668,128.56,126.39,25.676,9480.465,1198.236,芒果
2022,臺南市,芒果,3472289,3465531,7244.68,7230.67,13.142,6298.85,45544.906,芒果
2022,高雄市,芒果,621635,619428,1931.14,1925.28,12.561,4041.367,7780.763,芒果
2022,宜蘭縣,芒果,2400,2172,6.84,6.09,30.037,10712.808,65.241,芒果
2022,新竹縣,芒果,1308,1304,4.19,4.18,21.706,6771.292,28.304,芒果
2022,苗栗縣,芒果,5448,5448,13.98,13.98,28.541,11122.389,155.491,芒果
2022,彰化縣,芒果,74758,74342,185.17,184.11,22.991,9283.711,1709.224,芒果
