年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2020,新北市,葡萄,43,43,0.03,0.03,31.395,45000,1.35,葡萄
2020,臺北市,葡萄,-,-,-,-,-,-,-,葡萄
2020,桃園市,葡萄,11849,11699,5.2,5.1,14.355,32930,167.943,葡萄
2020,臺中市,葡萄,570617,568947,460.34,458.67,25.666,31837.038,14602.694,葡萄
2020,臺南市,葡萄,6001,6001,3.06,3.06,16.269,31905.882,97.632,葡萄
2020,高雄市,葡萄,4251,4251,3.55,3.55,19.361,23183.662,82.302,葡萄
2020,宜蘭縣,葡萄,558,520,0.73,0.69,39.625,29862.319,20.605,葡萄
2020,新竹縣,葡萄,520,520,0.94,0.94,33.202,18367.021,17.265,葡萄
2020,苗栗縣,葡萄,521975,521975,436.71,436.71,28.921,34567.61,15096.021,葡萄
2020,彰化縣,葡萄,2029148,2029148,1197.97,1197.97,16.54,28015.523,33561.756,葡萄
2020,南投縣,葡萄,369979,369979,348.18,348.18,26.935,28621.584,9965.463,葡萄
2020,雲林縣,葡萄,3678,3678,6.88,6.88,23.055,12325.291,84.798,葡萄
2020,嘉義縣,葡萄,5327,5327,8.72,8.72,33.274,20326.606,177.248,葡萄
2020,屏東縣,葡萄,405,405,0.7,0.7,97.299,56294.286,39.406,葡萄
2020,臺東縣,葡萄,6317,6317,3.31,3.31,14.052,26817.523,88.766,葡萄
2020,花蓮縣,葡萄,-,-,-,-,-,-,-,葡萄
2020,澎湖縣,葡萄,-,-,-,-,-,-,-,葡萄
2020,基隆市,葡萄,-,-,-,-,-,-,-,葡萄
2020,新竹市,葡萄,-,-,-,-,-,-,-,葡萄
2020,嘉義市,葡萄,-,-,-,-,-,-,-,葡萄
2020,金門縣,葡萄,-,-,-,-,-,-,-,葡萄
2020,連江縣,葡萄,-,-,-,-,-,-,-,葡萄
2021,新北市,葡萄,73,73,0.06,0.06,26.712,32500,1.95,葡萄
2021,臺北市,葡萄,-,-,-,-,-,-,-,葡萄
2021,桃園市,葡萄,12089,11289,4.93,4.58,12.72,31353.275,143.598,葡萄
2021,臺中市,葡萄,572080,571080,461.79,460.79,22.462,27838.386,12827.65,葡萄
2021,臺南市,葡萄,5427,5427,2.88,2.88,16.652,31377.778,90.368,葡萄
2021,高雄市,葡萄,3744,3744,3.16,3.16,21.51,25485.443,80.534,葡萄
2021,宜蘭縣,葡萄,530,520,0.7,0.69,42.963,32378.261,22.341,葡萄
2021,新竹縣,葡萄,680,560,1.19,0.99,37.089,20979.798,20.77,葡萄
2021,苗栗縣,葡萄,520667,520667,435.65,435.65,29.948,35792.785,15593.127,葡萄
2021,彰化縣,葡萄,2048915,2048915,1209.36,1209.36,15.78,26734.95,32332.179,葡萄
2021,南投縣,葡萄,352422,352422,331.48,331.48,23.743,25243.384,8367.677,葡萄
2021,雲林縣,葡萄,1985,1985,4.49,4.49,26.499,11714.922,52.6,葡萄
2021,嘉義縣,葡萄,6139,6139,9.73,9.73,43.453,27415.725,266.755,葡萄
2021,屏東縣,葡萄,705,405,1.2,0.7,94.252,54531.429,38.172,葡萄
2021,臺東縣,葡萄,5954,5954,2.35,2.35,10.443,26457.872,62.176,葡萄
2021,花蓮縣,葡萄,-,-,-,-,-,-,-,葡萄
2021,澎湖縣,葡萄,-,-,-,-,-,-,-,葡萄
2021,基隆市,葡萄,-,-,-,-,-,-,-,葡萄
2021,新竹市,葡萄,-,-,-,-,-,-,-,葡萄
2021,嘉義市,葡萄,-,-,-,-,-,-,-,葡萄
2021,金門縣,葡萄,-,-,-,-,-,-,-,葡萄
2021,連江縣,葡萄,-,-,-,-,-,-,-,葡萄
2022,新北市,葡萄,93,83,0.08,0.07,25.904,30714.286,2.15,葡萄
2022,臺北市,葡萄,-,-,-,-,-,-,-,葡萄
2022,桃園市,葡萄,12379,12149,4.98,4.85,6.231,15608.247,75.7,葡萄
2022,臺中市,葡萄,562127,561617,453.1,452.59,21.593,26794.266,12126.817,葡萄
2022,臺南市,葡萄,7515,7035,3.78,3.62,16.744,32540.331,117.796,葡萄
2022,高雄市,葡萄,3252,3252,2.72,2.72,22.637,27064.338,73.615,葡萄
2022,宜蘭縣,葡萄,494,494,0.66,0.66,39.671,29693.03,19.597,葡萄
2022,新竹縣,葡萄,485,485,0.84,0.84,35.773,20654.762,17.35,葡萄
2022,苗栗縣,葡萄,520427,520427,435.4,435.4,28.015,33485.402,14579.544,葡萄
2022,彰化縣,葡萄,1982329,1982329,1166.62,1166.62,14.965,25427.91,29664.708,葡萄
2022,南投縣,葡萄,314806,314806,295.93,295.93,26.973,28693.958,8491.403,葡萄
2022,雲林縣,葡萄,3074,3074,6.47,6.47,22.893,10876.971,70.374,葡萄
2022,嘉義縣,葡萄,5939,5939,9.23,9.23,35.444,22805.959,210.499,葡萄
2022,屏東縣,葡萄,705,405,1.2,0.7,73.622,42595.714,29.817,葡萄
2022,臺東縣,葡萄,6054,6054,2.45,2.45,10.958,27077.551,66.34,葡萄
2022,花蓮縣,葡萄,80,80,0.1,0.1,40,32000,3.2,葡萄
2022,澎湖縣,葡萄,-,-,-,-,-,-,-,葡萄
2022,基隆市,葡萄,-,-,-,-,-,-,-,葡萄
2022,新竹市,葡萄,-,-,-,-,-,-,-,葡萄
2022,嘉義市,葡萄,-,-,-,-,-,-,-,葡萄
2022,金門縣,葡萄,-,-,-,-,-,-,-,葡萄
2022,連江縣,葡萄,-,-,-,-,-,-,-,葡萄
2023,新北市,葡萄,80,70,0.07,0.06,25.143,29333.333,1.76,葡萄
2023,臺北市,葡萄,-,-,-,-,-,-,-,葡萄
2023,桃園市,葡萄,12047,11797,4.91,4.56,6.325,16363.86,74.619,葡萄
2023,臺中市,葡萄,525051,524631,422.58,422.16,22.703,28214.241,11910.924,葡萄
2023,臺南市,葡萄,8535,7621,4.04,3.6,16.012,33896.111,122.026,葡萄
2023,高雄市,葡萄,3077,3077,2.58,2.58,20.334,24250.543,62.566,葡萄
2023,宜蘭縣,葡萄,418,418,0.55,0.55,24.94,18954.545,10.425,葡萄
2023,新竹縣,葡萄,535,535,0.94,0.94,35.824,20389.362,19.166,葡萄
2023,苗栗縣,葡萄,529505,529505,442.91,442.91,25.753,30788.169,13636.388,葡萄
2023,彰化縣,葡萄,1931441,1931441,1137.8,1137.8,15.47,26260.791,29879.528,葡萄
2023,南投縣,葡萄,300164,300164,281.83,281.83,28.245,30082.415,8478.127,葡萄
2023,雲林縣,葡萄,557,390,0.76,0.53,30.256,22264.151,11.8,葡萄
2023,嘉義縣,葡萄,4746,4746,8.7,8.7,50.064,27310.69,237.603,葡萄
2023,屏東縣,葡萄,629,285,1.1,0.5,75.786,43198,21.599,葡萄
2023,臺東縣,葡萄,1608,1608,0.8,0.8,18.117,36415,29.132,葡萄
2023,花蓮縣,葡萄,-,-,-,-,-,-,-,葡萄
2023,澎湖縣,葡萄,-,-,-,-,-,-,-,葡萄
2023,基隆市,葡萄,-,-,-,-,-,-,-,葡萄
2023,新竹市,葡萄,106,106,0.19,0.19,28,15621.053,2.968,葡萄
2023,嘉義市,葡萄,-,-,-,-,-,-,-,葡萄
2023,金門縣,葡萄,-,-,-,-,-,-,-,葡萄
2023,連江縣,葡萄,-,-,-,-,-,-,-,葡萄
2024,新北市,葡萄,80,70,0.07,0.06,17.743,20700,1.242,葡萄
2024,臺北市,葡萄,-,-,-,-,-,-,-,葡萄
2024,桃園市,葡萄,12160,12160,4.81,4.81,6.372,16109.397,77.486,葡萄
2024,臺中市,葡萄,520629,520059,418.85,418.28,21.451,26670.745,11155.839,葡萄
2024,臺南市,葡萄,6574,5802,4.02,3.19,14.78,26881.661,85.753,葡萄
2024,高雄市,葡萄,2732,2732,2.28,2.28,20.479,24538.553,55.948,葡萄
2024,宜蘭縣,葡萄,374,374,0.52,0.52,19.642,14126.923,7.346,葡萄
2024,新竹縣,葡萄,643,643,1.12,1.12,35.226,20223.214,22.65,葡萄
2024,苗栗縣,葡萄,528689,528689,442.17,442.17,23.033,27540.265,12177.479,葡萄
2024,彰化縣,葡萄,1921576,1920979,1129.11,1128.61,15.457,26309.727,29693.421,葡萄
2024,南投縣,葡萄,280708,280268,266,265.68,26.053,27483.586,7301.839,葡萄
2024,雲林縣,葡萄,853,600,1.29,0.5,23.1,27720,13.86,葡萄
2024,嘉義縣,葡萄,4357,4317,5.1,5,21.57,18623.8,93.119,葡萄
2024,屏東縣,葡萄,700,640,1.2,1.1,89.264,51935.455,57.129,葡萄
2024,臺東縣,葡萄,1139,922,0.84,0.76,24.419,29623.684,22.514,葡萄
2024,花蓮縣,葡萄,-,-,-,-,-,-,-,葡萄
2024,澎湖縣,葡萄,-,-,-,-,-,-,-,葡萄
2024,基隆市,葡萄,-,-,0.02,-,-,-,-,葡萄
2024,新竹市,葡萄,106,106,0.19,0.19,54.5,30405.263,5.777,葡萄
2024,嘉義市,葡萄,-,-,-,-,-,-,-,葡萄
2024,金門縣,葡萄,-,-,-,-,-,-,-,葡萄
2024,連江縣,葡萄,-,-,-,-,-,-,-,葡萄
