年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2020,新北市,蘋果,-,-,-,-,-,-,-,蘋果
2020,臺北市,蘋果,-,-,-,-,-,-,-,蘋果
2020,桃園市,蘋果,1000,-,1,-,-,-,-,蘋果
2020,臺中市,蘋果,53270,53270,152.2,152.2,10.5,3675,559.335,蘋果
2020,臺南市,蘋果,-,-,-,-,-,-,-,蘋果
2020,高雄市,蘋果,7,7,0.02,0.02,16,5600,0.112,蘋果
2020,宜蘭縣,蘋果,-,-,-,-,-,-,-,蘋果
2020,新竹縣,蘋果,-,-,-,-,-,-,-,蘋果
2020,苗栗縣,蘋果,-,-,-,-,-,-,-,蘋果
2020,彰化縣,蘋果,-,-,-,-,-,-,-,蘋果
2020,南投縣,蘋果,14630,14630,38.5,38.5,32.3,12274,472.549,蘋果
2020,雲林縣,蘋果,-,-,-,-,-,-,-,蘋果
2020,嘉義縣,蘋果,21,21,0.06,0.06,25,8750,0.525,蘋果
2020,屏東縣,蘋果,-,-,-,-,-,-,-,蘋果
2020,臺東縣,蘋果,-,-,-,-,-,-,-,蘋果
2020,花蓮縣,蘋果,298,298,1.19,1.19,28,7011.765,8.344,蘋果
2020,澎湖縣,蘋果,-,-,-,-,-,-,-,蘋果
2020,基隆市,蘋果,-,-,-,-,-,-,-,蘋果
2020,新竹市,蘋果,-,-,-,-,-,-,-,蘋果
2020,嘉義市,蘋果,-,-,-,-,-,-,-,蘋果
2020,金門縣,蘋果,16,16,0.02,0.02,4,3200,0.064,蘋果
2020,連江縣,蘋果,-,-,-,-,-,-,-,蘋果
2021,新北市,蘋果,-,-,-,-,-,-,-,蘋果
2021,臺北市,蘋果,-,-,-,-,-,-,-,蘋果
2021,桃園市,蘋果,1000,1000,1,1,9,9000,9,蘋果
2021,臺中市,蘋果,54320,54320,155.2,155.2,20,7000,1086.4,蘋果
2021,臺南市,蘋果,217,217,0.62,0.62,16,5600,3.472,蘋果
2021,高雄市,蘋果,-,-,-,-,-,-,-,蘋果
2021,宜蘭縣,蘋果,-,-,-,-,-,-,-,蘋果
2021,新竹縣,蘋果,-,-,-,-,-,-,-,蘋果
2021,苗栗縣,蘋果,-,-,-,-,-,-,-,蘋果
2021,彰化縣,蘋果,-,-,-,-,-,-,-,蘋果
2021,南投縣,蘋果,10678,10678,28.1,28.1,33,12540,352.374,蘋果
2021,雲林縣,蘋果,-,-,-,-,-,-,-,蘋果
2021,嘉義縣,蘋果,21,21,0.06,0.06,25,8750,0.525,蘋果
2021,屏東縣,蘋果,-,-,-,-,-,-,-,蘋果
2021,臺東縣,蘋果,-,-,-,-,-,-,-,蘋果
2021,花蓮縣,蘋果,319,319,1.25,1.25,19.605,5003.2,6.254,蘋果
2021,澎湖縣,蘋果,-,-,-,-,-,-,-,蘋果
2021,基隆市,蘋果,-,-,-,-,-,-,-,蘋果
