年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2020,新北市,香蕉,113070,104197,77.28,71.98,13.927,20160.072,1451.122,香蕉
2020,臺北市,香蕉,12962,12962,10.47,10.47,11.666,14442.502,151.213,香蕉
2020,桃園市,香蕉,46403,43445,59.56,55.56,17.691,13833.459,768.587,香蕉
2020,臺中市,香蕉,569213,566147,623.32,621.12,16.725,15244.84,9468.875,香蕉
2020,臺南市,香蕉,1410784,1408564,1000.43,998.95,16.2,22843.282,22819.297,香蕉
2020,高雄市,香蕉,3928414,3892808,2186.31,2166.46,14.874,26725.669,57900.092,香蕉
2020,宜蘭縣,香蕉,163548,158163,109.56,105.97,17.366,25918.552,2746.589,香蕉
2020,新竹縣,香蕉,168707,168707,118.38,118.38,12.525,17849.831,2113.063,香蕉
2020,苗栗縣,香蕉,155063,155063,118.15,118.15,18.744,24600.482,2906.547,香蕉
2020,彰化縣,香蕉,198932,197087,133.75,132.48,16.146,24019.769,3182.139,香蕉
2020,南投縣,香蕉,3860504,3835870,3158.42,3136.28,13.995,17117.065,53683.908,香蕉
2020,雲林縣,香蕉,1304762,1221497,731.8,687.55,20.843,37029.822,25459.854,香蕉
2020,嘉義縣,香蕉,4009354,3922403,2552.65,2496.45,14.999,23566.342,58832.195,香蕉
2020,屏東縣,香蕉,7588125,5818469,4295.43,3294.07,16.3,28791.075,94839.815,香蕉
2020,臺東縣,香蕉,840823,824122,533.87,523.38,17.381,27367.868,14323.795,香蕉
2020,花蓮縣,香蕉,991616,565361,643.47,367.59,13.443,20675.024,7599.932,香蕉
2020,澎湖縣,香蕉,2429,2429,2.49,2.49,16.557,16151.004,40.216,香蕉
2020,基隆市,香蕉,5417,5417,4.11,4.11,8.465,11157.178,45.856,香蕉
2020,新竹市,香蕉,10924,10144,7,6.5,10.804,16860.615,109.594,香蕉
2020,嘉義市,香蕉,73920,73920,49.28,49.28,15.469,23203.125,1143.45,香蕉
2020,金門縣,香蕉,1600,1600,0.8,0.8,8.882,17763.75,14.211,香蕉
2020,連江縣,香蕉,-,-,-,-,-,-,-,香蕉
2021,新北市,香蕉,114018,103827,77.87,72.28,13.949,20036.552,1448.242,香蕉
