年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2020,新北市,鳳梨,76600,64640,2.79,2.31,0.928,25980.087,60.014,鳳梨
2020,臺北市,鳳梨,-,-,-,-,-,-,-,鳳梨
2020,桃園市,鳳梨,5100,2900,0.17,0.1,1.091,31640,3.164,鳳梨
2020,臺中市,鳳梨,5277400,4952275,152.22,142.67,1.364,47332.158,6752.879,鳳梨
2020,臺南市,鳳梨,59530111,40016511,1727.89,1159.51,1.537,53039.255,61499.547,鳳梨
2020,高雄市,鳳梨,56900954,38899166,1580.16,1079.68,1.465,52766.447,56970.878,鳳梨
2020,宜蘭縣,鳳梨,1067900,988150,40.56,37.57,1.236,32503.859,1221.17,鳳梨
2020,新竹縣,鳳梨,1400,1400,0.07,0.07,1,20000,1.4,鳳梨
2020,苗栗縣,鳳梨,87302,87302,2.93,2.93,1.107,32990.102,96.661,鳳梨
2020,彰化縣,鳳梨,9142930,6490840,262.96,186.83,1.452,50433.041,9422.405,鳳梨
2020,南投縣,鳳梨,44459800,30743229,1264.36,874.35,1.73,60829.711,53186.458,鳳梨
2020,雲林縣,鳳梨,31729698,18174238,932.56,535.2,1.565,53132.085,28436.292,鳳梨
2020,嘉義縣,鳳梨,54440492,37566578,1539.36,1058.14,1.581,56129.928,59393.322,鳳梨
2020,屏東縣,鳳梨,140596985,90241149,3596.13,2310.76,1.36,53094.553,122688.77,鳳梨
2020,臺東縣,鳳梨,12724178,9274656,362.61,263.97,1.114,39152.635,10335.121,鳳梨
2020,花蓮縣,鳳梨,7652788,6368080,193.75,161.36,0.987,38967.353,6287.772,鳳梨
2020,澎湖縣,鳳梨,-,-,-,-,-,-,-,鳳梨
2020,基隆市,鳳梨,1000,1000,0.04,0.04,1.1,27500,1.1,鳳梨
2020,新竹市,鳳梨,-,-,-,-,-,-,-,鳳梨
2020,嘉義市,鳳梨,3074221,2160982,87.86,61.76,1.236,43247.992,2670.996,鳳梨
2020,金門縣,鳳梨,-,-,-,-,-,-,-,鳳梨
2020,連江縣,鳳梨,-,-,-,-,-,-,-,鳳梨
2021,新北市,鳳梨,80630,70498,2.97,2.58,0.939,25651.163,66.18,鳳梨
2021,臺北市,鳳梨,-,-,-,-,-,-,-,鳳梨
2021,桃園市,鳳梨,15090,13290,0.5,0.44,1.312,39631.818,17.438,鳳梨
2021,臺中市,鳳梨,5290500,5255500,152.6,151.6,1.307,45309.782,6868.963,鳳梨
