年度,地區別,蔬果類別,種植面積_公頃,收穫面積_公頃
2024,新北市,芒果,3.46,2.34
2024,臺北市,芒果,-,-
2024,桃園市,芒果,5.24,2.26
2024,臺中市,芒果,118.25,116.23
2024,臺南市,芒果,7203.55,7179.03
2024,高雄市,芒果,1898.71,1888.87
2024,宜蘭縣,芒果,9.28,5.94
2024,新竹縣,芒果,4.22,4.21
2024,苗栗縣,芒果,17.55,17.45
2024,彰化縣,芒果,164.32,153.06
2024,南投縣,芒果,126.7,114.36
2024,雲林縣,芒果,161.47,159.77
2024,嘉義縣,芒果,294.29,288.65
2024,屏東縣,芒果,5784.91,5640.72
2024,臺東縣,芒果,390.95,367.64
2024,花蓮縣,芒果,116.62,84.12
2024,澎湖縣,芒果,-,-
2024,基隆市,芒果,0.1,0.1
2024,新竹市,芒果,1.4,1
2024,嘉義市,芒果,21.16,21.16
2024,金門縣,芒果,-,-
2024,連江縣,芒果,-,-
2023,新北市,芒果,3.1,2.34
2023,臺北市,芒果,-,-
2023,桃園市,芒果,5.63,2.38
2023,臺中市,芒果,120.48,117.66
2023,臺南市,芒果,7267.34,7254.49
2023,高雄市,芒果,1893.45,1889.22
2023,宜蘭縣,芒果,8.75,6.9
2023,新竹縣,芒果,4.19,4.18
2023,苗栗縣,芒果,15.65,15.65
2023,彰化縣,芒果,150.68,149.1
2023,南投縣,芒果,124.06,120.16
2023,雲林縣,芒果,153.29,151.86
2023,嘉義縣,芒果,292.78,287.51
2023,屏東縣,芒果,5780.22,5621.08
2023,臺東縣,芒果,379.25,360.14
2023,花蓮縣,芒果,119.77,56.71
2023,澎湖縣,芒果,-,-
2023,基隆市,芒果,0.1,0.1
2023,新竹市,芒果,1.5,1.1
2023,嘉義市,芒果,23.75,23.75
2023,金門縣,芒果,-,-
2023,連江縣,芒果,-,-
2022,新北市,芒果,3.34,2.96
2022,臺北市,芒果,-,-
2022,桃園市,芒果,5.43,2.68
2022,臺中市,芒果,128.56,126.39
2022,臺南市,芒果,7244.68,7230.67
2022,高雄市,芒果,1931.14,1925.28
2022,宜蘭縣,芒果,6.84,6.09
2022,新竹縣,芒果,4.19,4.18
2022,苗栗縣,芒果,13.98,13.98
2022,彰化縣,芒果,185.17,184.11
2022,南投縣,芒果,122.21,119.76
2022,雲林縣,芒果,144.26,142.84
2022,嘉義縣,芒果,314.19,308.26
2022,屏東縣,芒果,5828.6,5672.56
2022,臺東縣,芒果,349,329.69
2022,花蓮縣,芒果,116.67,23.94
2022,澎湖縣,芒果,-,-
2022,基隆市,芒果,0.1,0.1
2022,新竹市,芒果,1.3,0.9
2022,嘉義市,芒果,24.43,24.43
2022,金門縣,芒果,-,-
2022,連江縣,芒果,-,-
2021,新北市,芒果,1.98,1.71
2021,臺北市,芒果,-,-
2021,桃園市,芒果,3.44,2.27
2021,臺中市,芒果,127.51,126.37
2021,臺南市,芒果,7244.8,7236.7
2021,高雄市,芒果,1940.2,1937.77
2021,宜蘭縣,芒果,7.64,6.85
2021,新竹縣,芒果,3.28,3.28
2021,苗栗縣,芒果,15.14,15.14
2021,彰化縣,芒果,169.99,169.93
2021,南投縣,芒果,109.95,108.05
2021,雲林縣,芒果,145.59,144.25
2021,嘉義縣,芒果,329.68,328.48
2021,屏東縣,芒果,5789.57,5677.65
2021,臺東縣,芒果,330.73,318.18
2021,花蓮縣,芒果,123.71,62.47
2021,澎湖縣,芒果,-,-
2021,基隆市,芒果,0.1,0.1
2021,新竹市,芒果,1.3,0.9
2021,嘉義市,芒果,24.77,24.77
2021,金門縣,芒果,-,-
2021,連江縣,芒果,-,-
2020,新北市,芒果,1.89,1.58
2020,臺北市,芒果,-,-
2020,桃園市,芒果,2.89,1.54
2020,臺中市,芒果,126.88,125.8
2020,臺南市,芒果,7274.67,7257.19
2020,高雄市,芒果,1907.88,1904.76
2020,宜蘭縣,芒果,8.17,7.13
2020,新竹縣,芒果,2.73,2.73
2020,苗栗縣,芒果,13.8,13.5
2020,彰化縣,芒果,145.47,145.47
2020,南投縣,芒果,104.17,101.91
2020,雲林縣,芒果,128.44,112.06
2020,嘉義縣,芒果,327.97,326.46
2020,屏東縣,芒果,5810.04,5683.79
2020,臺東縣,芒果,313.33,292.89
2020,花蓮縣,芒果,119.79,58.66
2020,澎湖縣,芒果,0.01,-
2020,基隆市,芒果,0.1,0.1
2020,新竹市,芒果,0.9,0.9
2020,嘉義市,芒果,24.52,24.52
2020,金門縣,芒果,-,-
2020,連江縣,芒果,-,-
