年度,地區別,蔬果類別,種植面積_公頃,收穫面積_公頃
2024,新北市,鳳梨,4.47,2.9
2024,臺北市,鳳梨,-,-
2024,桃園市,鳳梨,1.14,0.36
2024,臺中市,鳳梨,167.34,158.43
2024,臺南市,鳳梨,1537.15,956.14
2024,高雄市,鳳梨,1450.57,970.87
2024,宜蘭縣,鳳梨,32.07,20.39
2024,新竹縣,鳳梨,0.38,0.38
2024,苗栗縣,鳳梨,1.45,1.45
2024,彰化縣,鳳梨,229.28,185.83
2024,南投縣,鳳梨,965.59,769.73
2024,雲林縣,鳳梨,870.62,550.45
2024,嘉義縣,鳳梨,1455.26,920.46
2024,屏東縣,鳳梨,3476.35,2051.92
2024,臺東縣,鳳梨,381.56,296.96
2024,花蓮縣,鳳梨,92.6,46.74
2024,澎湖縣,鳳梨,-,-
2024,基隆市,鳳梨,0.18,0.18
2024,新竹市,鳳梨,-,-
2024,嘉義市,鳳梨,79.17,54.65
2024,金門縣,鳳梨,-,-
2024,連江縣,鳳梨,-,-
2023,新北市,鳳梨,4.19,2.65
2023,臺北市,鳳梨,-,-
2023,桃園市,鳳梨,1.06,0.43
2023,臺中市,鳳梨,167.66,155.04
2023,臺南市,鳳梨,1574.76,1008.11
2023,高雄市,鳳梨,1510.99,975.62
2023,宜蘭縣,鳳梨,33.42,24.14
2023,新竹縣,鳳梨,0.39,0.39
2023,苗栗縣,鳳梨,2.5,2.5
2023,彰化縣,鳳梨,216.89,185.5
2023,南投縣,鳳梨,997.28,756.09
2023,雲林縣,鳳梨,881.57,553.84
2023,嘉義縣,鳳梨,1473.98,955.3
2023,屏東縣,鳳梨,3482.96,2144.27
2023,臺東縣,鳳梨,343.32,266.16
2023,花蓮縣,鳳梨,99.31,46.85
2023,澎湖縣,鳳梨,0.1,0.1
2023,基隆市,鳳梨,0.17,0.17
2023,新竹市,鳳梨,-,-
2023,嘉義市,鳳梨,78.01,52.88
2023,金門縣,鳳梨,-,-
2023,連江縣,鳳梨,-,-
2022,新北市,鳳梨,3.76,2.33
2022,臺北市,鳳梨,-,-
2022,桃園市,鳳梨,1.41,0.58
2022,臺中市,鳳梨,161.51,145.86
2022,臺南市,鳳梨,1634.83,1080.92
2022,高雄市,鳳梨,1547.31,1001.9
2022,宜蘭縣,鳳梨,39.34,28.34
2022,新竹縣,鳳梨,0.38,0.38
2022,苗栗縣,鳳梨,2.8,2.8
2022,彰化縣,鳳梨,249.63,209.92
2022,南投縣,鳳梨,1132.07,832.99
2022,雲林縣,鳳梨,900.8,491.88
2022,嘉義縣,鳳梨,1447.41,957.13
2022,屏東縣,鳳梨,3553.66,2258.78
2022,臺東縣,鳳梨,356.01,267.47
2022,花蓮縣,鳳梨,119.88,77.48
2022,澎湖縣,鳳梨,0.1,0.1
2022,基隆市,鳳梨,0.16,0.16
2022,新竹市,鳳梨,-,-
2022,嘉義市,鳳梨,80.86,56.46
2022,金門縣,鳳梨,-,-
2022,連江縣,鳳梨,-,-
2021,新北市,鳳梨,2.97,2.58
2021,臺北市,鳳梨,-,-
2021,桃園市,鳳梨,0.5,0.44
2021,臺中市,鳳梨,152.6,151.6
2021,臺南市,鳳梨,1706.72,1138.02
2021,高雄市,鳳梨,1533.89,1029.97
2021,宜蘭縣,鳳梨,40.1,40.06
2021,新竹縣,鳳梨,0.2,0.2
2021,苗栗縣,鳳梨,4.81,4.81
2021,彰化縣,鳳梨,252.85,178.72
2021,南投縣,鳳梨,1181.23,885.22
2021,雲林縣,鳳梨,929.04,508.04
2021,嘉義縣,鳳梨,1508.6,1028.38
2021,屏東縣,鳳梨,3632.35,2400.15
2021,臺東縣,鳳梨,350.11,257.41
2021,花蓮縣,鳳梨,147.76,113.58
2021,澎湖縣,鳳梨,0.03,0.03
2021,基隆市,鳳梨,0.06,0.06
2021,新竹市,鳳梨,-,-
2021,嘉義市,鳳梨,81.28,57.68
2021,金門縣,鳳梨,-,-
2021,連江縣,鳳梨,-,-
2020,新北市,鳳梨,2.79,2.31
2020,臺北市,鳳梨,-,-
2020,桃園市,鳳梨,0.17,0.1
2020,臺中市,鳳梨,152.22,142.67
2020,臺南市,鳳梨,1727.89,1159.51
2020,高雄市,鳳梨,1580.16,1079.68
2020,宜蘭縣,鳳梨,40.56,37.57
2020,新竹縣,鳳梨,0.07,0.07
2020,苗栗縣,鳳梨,2.93,2.93
2020,彰化縣,鳳梨,262.96,186.83
2020,南投縣,鳳梨,1264.36,874.35
2020,雲林縣,鳳梨,932.56,535.2
2020,嘉義縣,鳳梨,1539.36,1058.14
2020,屏東縣,鳳梨,3596.13,2310.76
2020,臺東縣,鳳梨,362.61,263.97
2020,花蓮縣,鳳梨,193.75,161.36
2020,澎湖縣,鳳梨,-,-
2020,基隆市,鳳梨,0.04,0.04
2020,新竹市,鳳梨,-,-
2020,嘉義市,鳳梨,87.86,61.76
2020,金門縣,鳳梨,-,-
2020,連江縣,鳳梨,-,-
