年度,地區別,蔬果類別,種植面積_公頃,收穫面積_公頃
2024,高雄市,鳳梨,1450.57,970.87
2024,雲林縣,鳳梨,870.62,550.45
2024,金門縣,鳳梨,-,-
2024,連江縣,鳳梨,-,-
2024,苗栗縣,鳳梨,1.45,1.45
2024,花蓮縣,鳳梨,92.6,46.74
2024,臺東縣,鳳梨,381.56,296.96
2024,臺南市,鳳梨,1537.15,956.14
2024,臺北市,鳳梨,-,-
2024,臺中市,鳳梨,167.34,158.43
2024,澎湖縣,鳳梨,-,-
2024,桃園市,鳳梨,1.14,0.36
2024,新竹縣,鳳梨,0.38,0.38
2024,新竹市,鳳梨,-,-
2024,新北市,鳳梨,4.47,2.9
2024,彰化縣,鳳梨,229.28,185.83
2024,屏東縣,鳳梨,3476.35,2051.92
2024,宜蘭縣,鳳梨,32.07,20.39
2024,基隆市,鳳梨,0.18,0.18
2024,嘉義縣,鳳梨,1455.26,920.46
2024,嘉義市,鳳梨,79.17,54.65
2024,南投縣,鳳梨,965.59,769.73
2024,高雄市,香蕉,2218.36,2198.49
2024,雲林縣,香蕉,727.7,695.47
2024,金門縣,香蕉,0.8,0.8
2024,連江縣,香蕉,-,-
2024,苗栗縣,香蕉,130.81,130.71
2024,花蓮縣,香蕉,219.48,89.74
2024,臺東縣,香蕉,446.4,421.48
2024,臺南市,香蕉,938.08,927.72
2024,臺北市,香蕉,7.89,7.89
2024,臺中市,香蕉,609.76,600.67
2024,澎湖縣,香蕉,2.25,2.15
2024,桃園市,香蕉,59.52,54.5
2024,新竹縣,香蕉,111.49,108.76
2024,新竹市,香蕉,7.31,7.31
2024,新北市,香蕉,80.38,71.67
2024,彰化縣,香蕉,128.29,126.49
2024,屏東縣,香蕉,4082.39,3948.98
2024,宜蘭縣,香蕉,71.33,64.96
2024,基隆市,香蕉,3.78,3.78
2024,嘉義縣,香蕉,2274.66,2200.08
2024,嘉義市,香蕉,27.61,26.49
2024,南投縣,香蕉,2654.63,2644.82
2024,高雄市,蘋果,0.02,0.02
2024,雲林縣,蘋果,-,-
2024,金門縣,蘋果,0.02,0.02
2024,連江縣,蘋果,-,-
2024,苗栗縣,蘋果,-,-
2024,花蓮縣,蘋果,1.35,1.35
2024,臺東縣,蘋果,0.05,-
2024,臺南市,蘋果,0.5,0.5
2024,臺北市,蘋果,-,-
2024,臺中市,蘋果,155.2,155.2
2024,澎湖縣,蘋果,-,-
2024,桃園市,蘋果,1.52,1
2024,新竹縣,蘋果,0.2,0.2
2024,新竹市,蘋果,-,-
2024,新北市,蘋果,-,-
2024,彰化縣,蘋果,-,-
2024,屏東縣,蘋果,-,-
2024,宜蘭縣,蘋果,-,-
2024,基隆市,蘋果,-,-
2024,嘉義縣,蘋果,0.09,0.09
2024,嘉義市,蘋果,-,-
2024,南投縣,蘋果,22,22
2024,高雄市,葡萄,2.28,2.28
2024,雲林縣,葡萄,1.29,0.5
2024,金門縣,葡萄,-,-
2024,連江縣,葡萄,-,-
2024,苗栗縣,葡萄,442.17,442.17
2024,花蓮縣,葡萄,-,-
2024,臺東縣,葡萄,0.84,0.76
2024,臺南市,葡萄,4.02,3.19
2024,臺北市,葡萄,-,-
2024,臺中市,葡萄,418.85,418.28
2024,澎湖縣,葡萄,-,-
2024,桃園市,葡萄,4.81,4.81
2024,新竹縣,葡萄,1.12,1.12
2024,新竹市,葡萄,0.19,0.19
2024,新北市,葡萄,0.07,0.06
2024,彰化縣,葡萄,1129.11,1128.61
2024,屏東縣,葡萄,1.2,1.1
2024,宜蘭縣,葡萄,0.52,0.52
2024,基隆市,葡萄,0.02,-
2024,嘉義縣,葡萄,5.1,5
2024,嘉義市,葡萄,-,-
2024,南投縣,葡萄,266,265.68
2024,高雄市,草莓,2.03,2.03
2024,雲林縣,草莓,3.15,3.15
2024,金門縣,草莓,-,-
2024,連江縣,草莓,-,-
2024,苗栗縣,草莓,536.96,536.96
2024,花蓮縣,草莓,2.08,2.08
2024,臺東縣,草莓,0.47,0.47
2024,臺南市,草莓,3.25,3.25
2024,臺北市,草莓,2.95,2.95
2024,臺中市,草莓,15.31,15.31
2024,澎湖縣,草莓,-,-
2024,桃園市,草莓,5.72,5.72
2024,新竹縣,草莓,7.37,7.37
2024,新竹市,草莓,0.4,0.4
2024,新北市,草莓,0.66,0.66
2024,彰化縣,草莓,2.59,2.59
2024,屏東縣,草莓,0.4,0.4
2024,宜蘭縣,草莓,0.4,0.4
2024,基隆市,草莓,-,-
2024,嘉義縣,草莓,3.34,3.34
2024,嘉義市,草莓,-,-
2024,南投縣,草莓,10.46,10.46
2024,高雄市,芒果,1898.71,1888.87
2024,雲林縣,芒果,161.47,159.77
2024,金門縣,芒果,-,-
2024,連江縣,芒果,-,-
2024,苗栗縣,芒果,17.55,17.45
2024,花蓮縣,芒果,116.62,84.12
2024,臺東縣,芒果,390.95,367.64
2024,臺南市,芒果,7203.55,7179.03
2024,臺北市,芒果,-,-
2024,臺中市,芒果,118.25,116.23
2024,澎湖縣,芒果,-,-
2024,桃園市,芒果,5.24,2.26
2024,新竹縣,芒果,4.22,4.21
2024,新竹市,芒果,1.4,1
2024,新北市,芒果,3.46,2.34
2024,彰化縣,芒果,164.32,153.06
2024,屏東縣,芒果,5784.91,5640.72
2024,宜蘭縣,芒果,9.28,5.94
2024,基隆市,芒果,0.1,0.1
2024,嘉義縣,芒果,294.29,288.65
2024,嘉義市,芒果,21.16,21.16
2024,南投縣,芒果,126.7,114.36
2024,高雄市,木瓜,273.79,273.73
2024,雲林縣,木瓜,165.24,161.98
2024,金門縣,木瓜,0.27,0.27
2024,連江縣,木瓜,-,-
2024,苗栗縣,木瓜,31.08,31.08
2024,花蓮縣,木瓜,11.45,9.9
2024,臺東縣,木瓜,62.24,56.94
2024,臺南市,木瓜,648.81,607.53
2024,臺北市,木瓜,3.02,3.02
2024,臺中市,木瓜,21.44,20.82
2024,澎湖縣,木瓜,1.11,1
2024,桃園市,木瓜,5.94,4.54
2024,新竹縣,木瓜,6.1,6.1
2024,新竹市,木瓜,0.22,0.22
2024,新北市,木瓜,3.22,3.02
2024,彰化縣,木瓜,38.58,35.93
2024,屏東縣,木瓜,692.37,669.77
2024,宜蘭縣,木瓜,3.33,2.33
2024,基隆市,木瓜,0.06,0.06
2024,嘉義縣,木瓜,259.26,246.56
2024,嘉義市,木瓜,8.55,8.55
2024,南投縣,木瓜,426.92,361.79
2023,高雄市,鳳梨,1510.99,975.62
2023,雲林縣,鳳梨,881.57,553.84
2023,金門縣,鳳梨,-,-
2023,連江縣,鳳梨,-,-
2023,苗栗縣,鳳梨,2.5,2.5
2023,花蓮縣,鳳梨,99.31,46.85
2023,臺東縣,鳳梨,343.32,266.16
2023,臺南市,鳳梨,1574.76,1008.11
2023,臺北市,鳳梨,-,-
2023,臺中市,鳳梨,167.66,155.04
2023,澎湖縣,鳳梨,0.1,0.1
2023,桃園市,鳳梨,1.06,0.43
2023,新竹縣,鳳梨,0.39,0.39
2023,新竹市,鳳梨,-,-
2023,新北市,鳳梨,4.19,2.65
2023,彰化縣,鳳梨,216.89,185.5
2023,屏東縣,鳳梨,3482.96,2144.27
2023,宜蘭縣,鳳梨,33.42,24.14
2023,基隆市,鳳梨,0.17,0.17
2023,嘉義縣,鳳梨,1473.98,955.3
2023,嘉義市,鳳梨,78.01,52.88
2023,南投縣,鳳梨,997.28,756.09
2023,高雄市,香蕉,2219.27,2168.54
2023,雲林縣,香蕉,700.29,685.19
2023,金門縣,香蕉,0.8,0.8
2023,連江縣,香蕉,-,-
2023,苗栗縣,香蕉,128.06,126.96
2023,花蓮縣,香蕉,221.19,177.33
2023,臺東縣,香蕉,466.67,443.3
2023,臺南市,香蕉,955.11,952.04
2023,臺北市,香蕉,7.78,7.78
2023,臺中市,香蕉,611.12,597.26
2023,澎湖縣,香蕉,2.15,2.07
2023,桃園市,香蕉,63.39,58.94
2023,新竹縣,香蕉,107.23,107.23
2023,新竹市,香蕉,7.31,7.31
2023,新北市,香蕉,79.75,71.93
2023,彰化縣,香蕉,113.48,112.18
2023,屏東縣,香蕉,4013.37,3883.22
2023,宜蘭縣,香蕉,69.28,63.48
2023,基隆市,香蕉,4.44,4.44
2023,嘉義縣,香蕉,2344.95,2280.82
2023,嘉義市,香蕉,28.5,28.2
2023,南投縣,香蕉,2722,2712.49
2023,高雄市,蘋果,0.02,0.02
2023,雲林縣,蘋果,-,-
2023,金門縣,蘋果,0.02,0.02
2023,連江縣,蘋果,-,-
2023,苗栗縣,蘋果,-,-
2023,花蓮縣,蘋果,0.75,0.75
2023,臺東縣,蘋果,-,-
2023,臺南市,蘋果,0.5,0.5
2023,臺北市,蘋果,-,-
2023,臺中市,蘋果,155.2,155.2
2023,澎湖縣,蘋果,-,-
2023,桃園市,蘋果,1.52,1
