年度,地區別,蔬果類別,種植面積_公頃,收穫面積_公頃
2024,新北市,木瓜,3.22,3.02
2024,臺北市,木瓜,3.02,3.02
2024,桃園市,木瓜,5.94,4.54
2024,臺中市,木瓜,21.44,20.82
2024,臺南市,木瓜,648.81,607.53
2024,高雄市,木瓜,273.79,273.73
2024,宜蘭縣,木瓜,3.33,2.33
2024,新竹縣,木瓜,6.1,6.1
2024,苗栗縣,木瓜,31.08,31.08
2024,彰化縣,木瓜,38.58,35.93
2024,南投縣,木瓜,426.92,361.79
2024,雲林縣,木瓜,165.24,161.98
2024,嘉義縣,木瓜,259.26,246.56
2024,屏東縣,木瓜,692.37,669.77
2024,臺東縣,木瓜,62.24,56.94
2024,花蓮縣,木瓜,11.45,9.9
2024,澎湖縣,木瓜,1.11,1
2024,基隆市,木瓜,0.06,0.06
2024,新竹市,木瓜,0.22,0.22
2024,嘉義市,木瓜,8.55,8.55
2024,金門縣,木瓜,0.27,0.27
2024,連江縣,木瓜,-,-
2023,新北市,木瓜,3.31,3.17
2023,臺北市,木瓜,3.03,3.03
2023,桃園市,木瓜,5.31,5.03
2023,臺中市,木瓜,19.4,18.44
2023,臺南市,木瓜,633.85,618.61
2023,高雄市,木瓜,277.5,274.16
2023,宜蘭縣,木瓜,4.05,4.05
2023,新竹縣,木瓜,6.15,6.15
2023,苗栗縣,木瓜,25.08,25.08
2023,彰化縣,木瓜,36.45,35.3
2023,南投縣,木瓜,438.99,374.36
2023,雲林縣,木瓜,185.41,183.08
2023,嘉義縣,木瓜,262.85,251.35
2023,屏東縣,木瓜,688.97,672.45
2023,臺東縣,木瓜,92.88,89.38
2023,花蓮縣,木瓜,14.46,11.84
2023,澎湖縣,木瓜,1,1
2023,基隆市,木瓜,0.04,0.04
2023,新竹市,木瓜,0.21,0.21
2023,嘉義市,木瓜,10.15,9.7
2023,金門縣,木瓜,0.27,0.27
2023,連江縣,木瓜,-,-
2022,新北市,木瓜,3.46,3.36
2022,臺北市,木瓜,3.2,3.2
2022,桃園市,木瓜,7.08,6.99
2022,臺中市,木瓜,16.36,16.14
2022,臺南市,木瓜,639.02,624.75
2022,高雄市,木瓜,291.05,289.57
2022,宜蘭縣,木瓜,5.78,5.78
2022,新竹縣,木瓜,5.57,5.57
2022,苗栗縣,木瓜,35.72,35.72
2022,彰化縣,木瓜,38.84,38.54
2022,南投縣,木瓜,430.34,374.48
2022,雲林縣,木瓜,196.09,186.04
2022,嘉義縣,木瓜,270.61,243.61
2022,屏東縣,木瓜,698.06,683.76
2022,臺東縣,木瓜,55.28,51.78
2022,花蓮縣,木瓜,22.03,21.13
2022,澎湖縣,木瓜,1.08,1.08
2022,基隆市,木瓜,0.04,0.04
2022,新竹市,木瓜,0.11,0.11
2022,嘉義市,木瓜,10.02,10.02
2022,金門縣,木瓜,0.27,0.27
2022,連江縣,木瓜,-,-
2021,新北市,木瓜,3.34,3.17
2021,臺北市,木瓜,3.08,3.08
2021,桃園市,木瓜,5.46,5.21
2021,臺中市,木瓜,19.93,18.46
2021,臺南市,木瓜,699.14,684.11
2021,高雄市,木瓜,286.87,285.59
2021,宜蘭縣,木瓜,6.46,6.46
2021,新竹縣,木瓜,6.5,6.5
2021,苗栗縣,木瓜,33.75,33.75
2021,彰化縣,木瓜,38.89,38.89
2021,南投縣,木瓜,402.07,381.88
2021,雲林縣,木瓜,199.41,191.84
2021,嘉義縣,木瓜,270.73,239.03
2021,屏東縣,木瓜,710.59,685.54
2021,臺東縣,木瓜,49.17,49.17
2021,花蓮縣,木瓜,38.35,35.65
2021,澎湖縣,木瓜,1.29,1.29
2021,基隆市,木瓜,0.04,0.04
2021,新竹市,木瓜,0.14,0.14
2021,嘉義市,木瓜,10.16,10.16
2021,金門縣,木瓜,0.27,0.27
2021,連江縣,木瓜,-,-
2020,新北市,木瓜,3.32,3.21
2020,臺北市,木瓜,3.06,3.06
2020,桃園市,木瓜,4.2,3.73
2020,臺中市,木瓜,15.05,14.99
2020,臺南市,木瓜,719.02,713.08
2020,高雄市,木瓜,281.3,265
2020,宜蘭縣,木瓜,6.37,6.37
2020,新竹縣,木瓜,6.4,6.28
2020,苗栗縣,木瓜,32.73,32.73
2020,彰化縣,木瓜,39.41,39.13
2020,南投縣,木瓜,391.5,387.8
2020,雲林縣,木瓜,196.34,187.86
2020,嘉義縣,木瓜,265.4,237.1
2020,屏東縣,木瓜,690.44,653.36
2020,臺東縣,木瓜,76.12,62.12
2020,花蓮縣,木瓜,57.32,52.58
2020,澎湖縣,木瓜,1.41,1.41
2020,基隆市,木瓜,-,-
2020,新竹市,木瓜,0.14,0.14
2020,嘉義市,木瓜,10.41,10.41
2020,金門縣,木瓜,0.27,0.27
2020,連江縣,木瓜,-,-
