年度,地區別,蔬果類別,種植面積_公頃,收穫面積_公頃
2024,新北市,草莓,0.66,0.66
2024,臺北市,草莓,2.95,2.95
2024,桃園市,草莓,5.72,5.72
2024,臺中市,草莓,15.31,15.31
2024,臺南市,草莓,3.25,3.25
2024,高雄市,草莓,2.03,2.03
2024,宜蘭縣,草莓,0.4,0.4
2024,新竹縣,草莓,7.37,7.37
2024,苗栗縣,草莓,536.96,536.96
2024,彰化縣,草莓,2.59,2.59
2024,南投縣,草莓,10.46,10.46
2024,雲林縣,草莓,3.15,3.15
2024,嘉義縣,草莓,3.34,3.34
2024,屏東縣,草莓,0.4,0.4
2024,臺東縣,草莓,0.47,0.47
2024,花蓮縣,草莓,2.08,2.08
2024,澎湖縣,草莓,-,-
2024,基隆市,草莓,-,-
2024,新竹市,草莓,0.4,0.4
2024,嘉義市,草莓,-,-
2024,金門縣,草莓,-,-
2024,連江縣,草莓,-,-
2023,新北市,草莓,0.68,0.68
2023,臺北市,草莓,2.95,2.95
2023,桃園市,草莓,5.25,5.25
2023,臺中市,草莓,12.15,12.15
2023,臺南市,草莓,3.46,3.46
2023,高雄市,草莓,2.1,2.1
2023,宜蘭縣,草莓,0.25,0.25
2023,新竹縣,草莓,14,14
2023,苗栗縣,草莓,521.55,521.55
2023,彰化縣,草莓,2.8,2.8
2023,南投縣,草莓,11.27,11.27
2023,雲林縣,草莓,3.58,3.58
2023,嘉義縣,草莓,3.03,3.03
2023,屏東縣,草莓,0.3,0.3
2023,臺東縣,草莓,0.42,0.42
2023,花蓮縣,草莓,1.36,1.36
2023,澎湖縣,草莓,-,-
2023,基隆市,草莓,-,-
2023,新竹市,草莓,0.3,0.3
2023,嘉義市,草莓,0.3,0.3
2023,金門縣,草莓,-,-
2023,連江縣,草莓,-,-
2022,新北市,草莓,1.18,1.18
2022,臺北市,草莓,2.95,2.95
2022,桃園市,草莓,6.71,6.71
2022,臺中市,草莓,14.2,14.2
2022,臺南市,草莓,5.53,5.53
2022,高雄市,草莓,3.71,3.71
2022,宜蘭縣,草莓,0.57,0.57
2022,新竹縣,草莓,14.66,14.66
2022,苗栗縣,草莓,490.66,490.66
2022,彰化縣,草莓,1.06,1.06
2022,南投縣,草莓,14.86,14.86
2022,雲林縣,草莓,3.11,3.11
2022,嘉義縣,草莓,3.49,3.49
2022,屏東縣,草莓,1.05,1.05
2022,臺東縣,草莓,0.08,0.08
2022,花蓮縣,草莓,1.41,1.41
2022,澎湖縣,草莓,-,-
2022,基隆市,草莓,-,-
2022,新竹市,草莓,0.2,0.2
2022,嘉義市,草莓,-,-
2022,金門縣,草莓,-,-
2022,連江縣,草莓,-,-
2021,新北市,草莓,1.15,1.15
2021,臺北市,草莓,4.1,4.1
2021,桃園市,草莓,6.05,6.05
2021,臺中市,草莓,7.04,7.04
2021,臺南市,草莓,4.08,4.08
2021,高雄市,草莓,3.02,3.02
2021,宜蘭縣,草莓,0.48,0.48
2021,新竹縣,草莓,13.62,13.62
2021,苗栗縣,草莓,450.79,450.79
2021,彰化縣,草莓,1.39,1.39
2021,南投縣,草莓,10.1,10.1
2021,雲林縣,草莓,2.47,2.47
2021,嘉義縣,草莓,2.41,2.41
2021,屏東縣,草莓,0.46,0.46
2021,臺東縣,草莓,0.38,0.38
2021,花蓮縣,草莓,1.61,1.61
2021,澎湖縣,草莓,0.02,0.02
2021,基隆市,草莓,-,-
2021,新竹市,草莓,0.03,0.03
2021,嘉義市,草莓,-,-
2021,金門縣,草莓,-,-
2021,連江縣,草莓,-,-
2020,新北市,草莓,0.95,0.95
2020,臺北市,草莓,6.2,6.2
2020,桃園市,草莓,4.13,4.13
2020,臺中市,草莓,8.7,8.7
2020,臺南市,草莓,4.8,4.8
2020,高雄市,草莓,4.16,4.16
2020,宜蘭縣,草莓,0.38,0.38
2020,新竹縣,草莓,13.85,13.85
2020,苗栗縣,草莓,464.79,464.79
2020,彰化縣,草莓,1.61,1.61
2020,南投縣,草莓,8.8,8.8
2020,雲林縣,草莓,2.38,2.38
2020,嘉義縣,草莓,3.78,3.78
2020,屏東縣,草莓,0.25,0.25
2020,臺東縣,草莓,0.32,0.32
2020,花蓮縣,草莓,1.8,1.8
2020,澎湖縣,草莓,0.01,0.01
2020,基隆市,草莓,-,-
2020,新竹市,草莓,-,-
2020,嘉義市,草莓,0.4,0.4
2020,金門縣,草莓,-,-
2020,連江縣,草莓,-,-
