年度,地區別,蔬果類別,種植面積_公頃,收穫面積_公頃
2024,新北市,葡萄,0.07,0.06
2024,臺北市,葡萄,-,-
2024,桃園市,葡萄,4.81,4.81
2024,臺中市,葡萄,418.85,418.28
2024,臺南市,葡萄,4.02,3.19
2024,高雄市,葡萄,2.28,2.28
2024,宜蘭縣,葡萄,0.52,0.52
2024,新竹縣,葡萄,1.12,1.12
2024,苗栗縣,葡萄,442.17,442.17
2024,彰化縣,葡萄,1129.11,1128.61
2024,南投縣,葡萄,266,265.68
2024,雲林縣,葡萄,1.29,0.5
2024,嘉義縣,葡萄,5.1,5
2024,屏東縣,葡萄,1.2,1.1
2024,臺東縣,葡萄,0.84,0.76
2024,花蓮縣,葡萄,-,-
2024,澎湖縣,葡萄,-,-
2024,基隆市,葡萄,0.02,-
2024,新竹市,葡萄,0.19,0.19
2024,嘉義市,葡萄,-,-
2024,金門縣,葡萄,-,-
2024,連江縣,葡萄,-,-
2023,新北市,葡萄,0.07,0.06
2023,臺北市,葡萄,-,-
2023,桃園市,葡萄,4.91,4.56
2023,臺中市,葡萄,422.58,422.16
2023,臺南市,葡萄,4.04,3.6
2023,高雄市,葡萄,2.58,2.58
2023,宜蘭縣,葡萄,0.55,0.55
2023,新竹縣,葡萄,0.94,0.94
2023,苗栗縣,葡萄,442.91,442.91
2023,彰化縣,葡萄,1137.8,1137.8
2023,南投縣,葡萄,281.83,281.83
2023,雲林縣,葡萄,0.76,0.53
2023,嘉義縣,葡萄,8.7,8.7
2023,屏東縣,葡萄,1.1,0.5
2023,臺東縣,葡萄,0.8,0.8
2023,花蓮縣,葡萄,-,-
2023,澎湖縣,葡萄,-,-
2023,基隆市,葡萄,-,-
2023,新竹市,葡萄,0.19,0.19
2023,嘉義市,葡萄,-,-
2023,金門縣,葡萄,-,-
2023,連江縣,葡萄,-,-
2022,新北市,葡萄,0.08,0.07
2022,臺北市,葡萄,-,-
2022,桃園市,葡萄,4.98,4.85
2022,臺中市,葡萄,453.1,452.59
2022,臺南市,葡萄,3.78,3.62
2022,高雄市,葡萄,2.72,2.72
2022,宜蘭縣,葡萄,0.66,0.66
2022,新竹縣,葡萄,0.84,0.84
2022,苗栗縣,葡萄,435.4,435.4
2022,彰化縣,葡萄,1166.62,1166.62
2022,南投縣,葡萄,295.93,295.93
2022,雲林縣,葡萄,6.47,6.47
2022,嘉義縣,葡萄,9.23,9.23
2022,屏東縣,葡萄,1.2,0.7
2022,臺東縣,葡萄,2.45,2.45
2022,花蓮縣,葡萄,0.1,0.1
2022,澎湖縣,葡萄,-,-
2022,基隆市,葡萄,-,-
2022,新竹市,葡萄,-,-
2022,嘉義市,葡萄,-,-
2022,金門縣,葡萄,-,-
2022,連江縣,葡萄,-,-
2021,新北市,葡萄,0.06,0.06
2021,臺北市,葡萄,-,-
2021,桃園市,葡萄,4.93,4.58
2021,臺中市,葡萄,461.79,460.79
2021,臺南市,葡萄,2.88,2.88
2021,高雄市,葡萄,3.16,3.16
2021,宜蘭縣,葡萄,0.7,0.69
2021,新竹縣,葡萄,1.19,0.99
2021,苗栗縣,葡萄,435.65,435.65
2021,彰化縣,葡萄,1209.36,1209.36
2021,南投縣,葡萄,331.48,331.48
2021,雲林縣,葡萄,4.49,4.49
2021,嘉義縣,葡萄,9.73,9.73
2021,屏東縣,葡萄,1.2,0.7
2021,臺東縣,葡萄,2.35,2.35
2021,花蓮縣,葡萄,-,-
2021,澎湖縣,葡萄,-,-
2021,基隆市,葡萄,-,-
2021,新竹市,葡萄,-,-
2021,嘉義市,葡萄,-,-
2021,金門縣,葡萄,-,-
2021,連江縣,葡萄,-,-
2020,新北市,葡萄,0.03,0.03
2020,臺北市,葡萄,-,-
2020,桃園市,葡萄,5.2,5.1
2020,臺中市,葡萄,460.34,458.67
2020,臺南市,葡萄,3.06,3.06
2020,高雄市,葡萄,3.55,3.55
2020,宜蘭縣,葡萄,0.73,0.69
2020,新竹縣,葡萄,0.94,0.94
2020,苗栗縣,葡萄,436.71,436.71
2020,彰化縣,葡萄,1197.97,1197.97
2020,南投縣,葡萄,348.18,348.18
2020,雲林縣,葡萄,6.88,6.88
2020,嘉義縣,葡萄,8.72,8.72
2020,屏東縣,葡萄,0.7,0.7
2020,臺東縣,葡萄,3.31,3.31
2020,花蓮縣,葡萄,-,-
2020,澎湖縣,葡萄,-,-
2020,基隆市,葡萄,-,-
2020,新竹市,葡萄,-,-
2020,嘉義市,葡萄,-,-
2020,金門縣,葡萄,-,-
2020,連江縣,葡萄,-,-
