年度,地區別,蔬果類別,種植面積_公頃,收穫面積_公頃
2024,新北市,香蕉,80.38,71.67
2024,臺北市,香蕉,7.89,7.89
2024,桃園市,香蕉,59.52,54.5
2024,臺中市,香蕉,609.76,600.67
2024,臺南市,香蕉,938.08,927.72
2024,高雄市,香蕉,2218.36,2198.49
2024,宜蘭縣,香蕉,71.33,64.96
2024,新竹縣,香蕉,111.49,108.76
2024,苗栗縣,香蕉,130.81,130.71
2024,彰化縣,香蕉,128.29,126.49
2024,南投縣,香蕉,2654.63,2644.82
2024,雲林縣,香蕉,727.7,695.47
2024,嘉義縣,香蕉,2274.66,2200.08
2024,屏東縣,香蕉,4082.39,3948.98
2024,臺東縣,香蕉,446.4,421.48
2024,花蓮縣,香蕉,219.48,89.74
2024,澎湖縣,香蕉,2.25,2.15
2024,基隆市,香蕉,3.78,3.78
2024,新竹市,香蕉,7.31,7.31
2024,嘉義市,香蕉,27.61,26.49
2024,金門縣,香蕉,0.8,0.8
2024,連江縣,香蕉,-,-
2023,新北市,香蕉,79.75,71.93
2023,臺北市,香蕉,7.78,7.78
2023,桃園市,香蕉,63.39,58.94
2023,臺中市,香蕉,611.12,597.26
2023,臺南市,香蕉,955.11,952.04
2023,高雄市,香蕉,2219.27,2168.54
2023,宜蘭縣,香蕉,69.28,63.48
2023,新竹縣,香蕉,107.23,107.23
2023,苗栗縣,香蕉,128.06,126.96
2023,彰化縣,香蕉,113.48,112.18
2023,南投縣,香蕉,2722,2712.49
2023,雲林縣,香蕉,700.29,685.19
2023,嘉義縣,香蕉,2344.95,2280.82
2023,屏東縣,香蕉,4013.37,3883.22
2023,臺東縣,香蕉,466.67,443.3
2023,花蓮縣,香蕉,221.19,177.33
2023,澎湖縣,香蕉,2.15,2.07
2023,基隆市,香蕉,4.44,4.44
2023,新竹市,香蕉,7.31,7.31
2023,嘉義市,香蕉,28.5,28.2
2023,金門縣,香蕉,0.8,0.8
2023,連江縣,香蕉,-,-
2022,新北市,香蕉,79.1,72.14
2022,臺北市,香蕉,7.99,7.99
2022,桃園市,香蕉,61.97,58.61
2022,臺中市,香蕉,623.07,612.15
2022,臺南市,香蕉,963.05,959.97
2022,高雄市,香蕉,2215.59,2166.19
2022,宜蘭縣,香蕉,91.16,86.65
2022,新竹縣,香蕉,113.68,113.68
2022,苗栗縣,香蕉,131.86,131.36
2022,彰化縣,香蕉,128.47,127.65
2022,南投縣,香蕉,2829.67,2822.76
2022,雲林縣,香蕉,710.49,671.03
2022,嘉義縣,香蕉,2424.46,2325.51
2022,屏東縣,香蕉,4084.25,3728.18
2022,臺東縣,香蕉,471.67,448.16
2022,花蓮縣,香蕉,332.64,246.7
2022,澎湖縣,香蕉,2.15,2.15
2022,基隆市,香蕉,4.44,4.44
2022,新竹市,香蕉,6.99,6.99
2022,嘉義市,香蕉,23,23
2022,金門縣,香蕉,0.8,0.8
2022,連江縣,香蕉,-,-
2021,新北市,香蕉,77.87,72.28
2021,臺北市,香蕉,7.96,7.96
2021,桃園市,香蕉,61.98,58.08
2021,臺中市,香蕉,622.8,616.13
2021,臺南市,香蕉,1000.75,999
2021,高雄市,香蕉,2215.18,2202.47
2021,宜蘭縣,香蕉,107.99,104.74
2021,新竹縣,香蕉,113.5,113.5
2021,苗栗縣,香蕉,122.15,122.15
2021,彰化縣,香蕉,134.57,134.08
2021,南投縣,香蕉,3015.08,3013.63
2021,雲林縣,香蕉,668.09,636.64
2021,嘉義縣,香蕉,2514.15,2434.37
2021,屏東縣,香蕉,4025.81,3626.69
2021,臺東縣,香蕉,492.71,489.21
2021,花蓮縣,香蕉,541.92,361.72
2021,澎湖縣,香蕉,2.36,2.36
2021,基隆市,香蕉,4.24,4.24
2021,新竹市,香蕉,6.85,6.85
2021,嘉義市,香蕉,35.94,35.94
2021,金門縣,香蕉,0.8,0.8
2021,連江縣,香蕉,-,-
2020,新北市,香蕉,77.28,71.98
2020,臺北市,香蕉,10.47,10.47
2020,桃園市,香蕉,59.56,55.56
2020,臺中市,香蕉,623.32,621.12
2020,臺南市,香蕉,1000.43,998.95
2020,高雄市,香蕉,2186.31,2166.46
2020,宜蘭縣,香蕉,109.56,105.97
2020,新竹縣,香蕉,118.38,118.38
2020,苗栗縣,香蕉,118.15,118.15
2020,彰化縣,香蕉,133.75,132.48
2020,南投縣,香蕉,3158.42,3136.28
2020,雲林縣,香蕉,731.8,687.55
2020,嘉義縣,香蕉,2552.65,2496.45
2020,屏東縣,香蕉,4295.43,3294.07
2020,臺東縣,香蕉,533.87,523.38
2020,花蓮縣,香蕉,643.47,367.59
2020,澎湖縣,香蕉,2.49,2.49
2020,基隆市,香蕉,4.11,4.11
2020,新竹市,香蕉,7,6.5
2020,嘉義市,香蕉,49.28,49.28
2020,金門縣,香蕉,0.8,0.8
2020,連江縣,香蕉,-,-
