year,city_id,crop_id,altitude,planted_area,harvested_area,production
2024,KHH,K3,Low,1275.34,1272.79,3983.466
2024,YUN,K3,Low,36.77,36.61,231.283
2024,KIN,K3,Low,0.42,0.42,1.478
2024,LIE,K3,Low,,,
2024,MLI,K3,Low,61.33,61.33,309.352
2024,HUA,K3,Low,7.11,6.65,23.943
2024,TTT,K3,Low,22.21,20.56,140.58
2024,TNN,K3,Low,3655.46,3648.97,13956.194
2024,TPE,K3,Low,1.49,1.49,7.859
2024,TXG,K3,Low,2125.79,2124.61,17655.8
2024,PEN,K3,Low,,,
2024,TYN,K3,Low,0.7,0.23,1.134
2024,HSQ,K3,Low,10.05,10.04,63.481
2024,HSC,K3,Low,,,
2024,NTP,K3,Low,0.46,0.31,2.467
2024,CHA,K3,Low,641.26,637.36,3679.195
2024,PIF,K3,Low,17.63,16.19,90.83
2024,ILA,K3,Low,7.48,5.31,36.233
2024,KEE,K3,Low,,,
2024,CYQ,K3,Low,1078.15,1071.27,6310.363
2024,CYI,K3,Low,39.1,39.1,144.769
2024,NTO,K3,Low,1315.38,1293.78,2707.769
2024,KHH,B2,Low,1450.57,970.87,51800.894
2024,YUN,B2,Low,870.62,550.45,30777.939
2024,KIN,B2,Low,,,
2024,LIE,B2,Low,,,
2024,MLI,B2,Low,1.45,1.45,50.848
2024,HUA,B2,Low,92.6,46.74,1966.694
2024,TTT,B2,Low,381.56,296.96,10286.137
2024,TNN,B2,Low,1537.15,956.14,48780.53
2024,TPE,B2,Low,,,
2024,TXG,B2,Low,167.34,158.43,7150.54
2024,PEN,B2,Low,,,
2024,TYN,B2,Low,1.14,0.36,12.713
2024,HSQ,B2,Low,0.38,0.38,7.356
2024,HSC,B2,Low,,,
2024,NTP,B2,Low,4.47,2.9,71.562
2024,CHA,B2,Low,229.28,185.83,9072.454
2024,PIF,B2,Low,3476.35,2051.92,105221.622
2024,ILA,B2,Low,32.07,20.39,562.585
2024,KEE,B2,Low,0.18,0.18,4.217
2024,CYQ,B2,Low,1455.26,920.46,47226.842
2024,CYI,B2,Low,79.17,54.65,2103.425
2024,NTO,B2,Low,965.59,769.73,43451.961
2024,KHH,A1,Low,2218.36,2198.49,46343.863
2024,YUN,A1,Low,727.7,695.47,16263.346
2024,KIN,A1,Low,0.8,0.8,11.35
2024,LIE,A1,Low,,,
2024,MLI,A1,Low,130.81,130.71,2884.106
2024,HUA,A1,Low,219.48,89.74,1155.755
2024,TTT,A1,Low,446.4,421.48,6488.195
2024,TNN,A1,Low,938.08,927.72,17059.806
2024,TPE,A1,Low,7.89,7.89,77.407
2024,TXG,A1,Low,609.76,600.67,9072.712
2024,PEN,A1,Low,2.25,2.15,33.259
2024,TYN,A1,Low,59.52,54.5,714.839
2024,HSQ,A1,Low,111.49,108.76,1852.133
2024,HSC,A1,Low,7.31,7.31,113.337
2024,NTP,A1,Low,80.38,71.67,1199.14
2024,CHA,A1,Low,128.29,126.49,2919.511
2024,PIF,A1,Low,4082.39,3948.98,100336.379
2024,ILA,A1,Low,71.33,64.96,965.534
2024,KEE,A1,Low,3.78,3.78,39.155
2024,CYQ,A1,Low,2274.66,2200.08,30514.401
2024,CYI,A1,Low,27.61,26.49,278.145
2024,NTO,A1,Low,2654.63,2644.82,41026.064
2024,KHH,V1,Low,734.09,734.09,8079.175
2024,YUN,V1,Low,282.15,282.15,4420.358
2024,KIN,V1,Low,0.74,0.74,8.888
2024,LIE,V1,Low,,,
2024,MLI,V1,Low,18.22,18.22,137.752
2024,HUA,V1,Low,16.27,16.27,120.565
2024,TTT,V1,Low,1.1,1.1,2.68
2024,TNN,V1,Low,176.15,175.45,1893.611
2024,TPE,V1,Low,0.15,0.15,1.205
2024,TXG,V1,Low,54.13,54.13,601.973
2024,PEN,V1,Low,,,
2024,TYN,V1,Low,24.87,24.87,232.542
2024,HSQ,V1,Low,11.5,11.5,112.63
2024,HSC,V1,Low,,,
2024,NTP,V1,Low,5.79,5.79,36.835
2024,CHA,V1,Low,226.4,226.4,2868.367
2024,PIF,V1,Low,393.25,393.25,4742.667
2024,ILA,V1,Low,56.53,56.53,945.552
2024,KEE,V1,Low,,,
2024,CYQ,V1,Low,346.71,346.71,3839.248
2024,CYI,V1,Low,1.59,1.59,15.988
2024,NTO,V1,Low,4.08,4.08,50.885
2024,KHH,T1,Low,347.08,347.08,4569.266
2024,YUN,T1,Low,728.82,728.82,12174.213
2024,KIN,T1,Low,2.67,2.67,40.082
2024,LIE,T1,Low,,,
2024,MLI,T1,Low,162.48,162.48,2586.629
2024,HUA,T1,Low,1542.23,1541.73,35414.078
2024,TTT,T1,Low,4.72,4.42,67.785
2024,TNN,T1,Low,1228.85,1227.91,15149.786
2024,TPE,T1,Low,,,
2024,TXG,T1,Low,233.13,233.13,4460.469
2024,PEN,T1,Low,36.67,36.65,186.607
2024,TYN,T1,Low,172.7,172.7,3149.357
2024,HSQ,T1,Low,37.7,37.7,586.483
2024,HSC,T1,Low,1.02,1.02,10.15
2024,NTP,T1,Low,56.16,56.16,766.26
2024,CHA,T1,Low,424.17,423.07,7844.089
2024,PIF,T1,Low,571.33,571.33,8943.599
2024,ILA,T1,Low,709.58,709.58,18719.551
2024,KEE,T1,Low,0.03,0.03,0.19
2024,CYQ,T1,Low,462.61,462.61,7794.659
2024,CYI,T1,Low,0.35,0.35,2.73
2024,NTO,T1,Low,55.65,55.65,680.345
2024,KHH,X69,High,0.02,0.02,0.098
2024,YUN,X69,High,,,
2024,KIN,X69,High,0.02,0.02,0.056
2024,LIE,X69,High,,,
2024,MLI,X69,High,,,
2024,HUA,X69,High,1.35,1.35,7.243
2024,TTT,X69,High,0.05,,
2024,TNN,X69,High,0.5,0.5,2.713
2024,TPE,X69,High,,,
2024,TXG,X69,High,155.2,155.2,814.8
2024,PEN,X69,High,,,
2024,TYN,X69,High,1.52,1,9.8
2024,HSQ,X69,High,0.2,0.2,1.44
2024,HSC,X69,High,,,
2024,NTP,X69,High,,,
2024,CHA,X69,High,,,
2024,PIF,X69,High,,,
2024,ILA,X69,High,,,
2024,KEE,X69,High,,,
2024,CYQ,X69,High,0.09,0.09,0.692
2024,CYI,X69,High,,,
2024,NTO,X69,High,22,22,264.176
2024,KHH,Q1,Low,404.48,404.28,5298.351
2024,YUN,Q1,Low,24,22.1,161.217
2024,KIN,Q1,Low,,,
2024,LIE,Q1,Low,,,
2024,MLI,Q1,Low,1.87,1.84,11.79
2024,HUA,Q1,Low,24.87,12.15,43.098
2024,TTT,Q1,Low,17.02,10.92,72.25
2024,TNN,Q1,Low,30.74,28.97,269.853
2024,TPE,Q1,Low,3.06,3.06,17.505
2024,TXG,Q1,Low,12.3,11.53,140.315
2024,PEN,Q1,Low,,,
2024,TYN,Q1,Low,0.22,0.06,0.387
2024,HSQ,Q1,Low,1.91,1.91,16.984
2024,HSC,Q1,Low,,,
2024,NTP,Q1,Low,0.92,,
2024,CHA,Q1,Low,5.43,5.43,34.709
2024,PIF,Q1,Low,1850.94,1837.64,27354.535
2024,ILA,Q1,Low,81.03,78.68,1172.273
2024,KEE,Q1,Low,0.45,0.45,3.31
2024,CYQ,Q1,Low,210.6,209.2,3942.243
2024,CYI,Q1,Low,,,
2024,NTO,Q1,Low,73.29,71.59,608.966
2024,KHH,H4,Low,1.6,1.3,11.538
2024,YUN,H4,Low,85.93,85.58,1296.22
2024,KIN,H4,Low,,,
2024,LIE,H4,Low,,,
2024,MLI,H4,Low,8.49,8.49,106.072
2024,HUA,H4,Low,11.81,8.81,91.983
2024,TTT,H4,Low,9.77,9.77,100.085
2024,TNN,H4,Low,20.06,20.06,315.125
2024,TPE,H4,Low,1.4,1.4,12.044
2024,TXG,H4,Low,2.52,2.22,27.28
2024,PEN,H4,Low,,,
2024,TYN,H4,Low,,,
2024,HSQ,H4,Low,5.54,5.54,68.502
2024,HSC,H4,Low,2.8,2.8,49.644
2024,NTP,H4,Low,6.14,6.14,69.657
2024,CHA,H4,Low,2.49,2.49,27.277
2024,PIF,H4,Low,8.11,8.11,71.928
2024,ILA,H4,Low,6.05,2.05,26.962
2024,KEE,H4,Low,,,
2024,CYQ,H4,Low,231,229.6,3196.192
2024,CYI,H4,Low,22.2,22.2,353.933
2024,NTO,H4,Low,2.32,1.7,20.04
2024,KHH,S1,Low,2.28,2.28,55.948
2024,YUN,S1,Low,1.29,0.5,13.86
2024,KIN,S1,Low,,,
2024,LIE,S1,Low,,,
2024,MLI,S1,Low,442.17,442.17,12177.479
2024,HUA,S1,Low,,,
2024,TTT,S1,Low,0.84,0.76,22.514
2024,TNN,S1,Low,4.02,3.19,85.753
2024,TPE,S1,Low,,,
2024,TXG,S1,Low,418.85,418.28,11155.839
2024,PEN,S1,Low,,,
2024,TYN,S1,Low,4.81,4.81,77.486
2024,HSQ,S1,Low,1.12,1.12,22.65
2024,HSC,S1,Low,0.19,0.19,5.777
2024,NTP,S1,Low,0.07,0.06,1.242
2024,CHA,S1,Low,1129.11,1128.61,29693.421
2024,PIF,S1,Low,1.2,1.1,57.129
2024,ILA,S1,Low,0.52,0.52,7.346
2024,KEE,S1,Low,0.02,,
2024,CYQ,S1,Low,5.1,5,93.119
2024,CYI,S1,Low,,,
2024,NTO,S1,Low,266,265.68,7301.839
2024,KHH,J1,Low,3037.14,3036.84,10431.365
2024,YUN,J1,Low,78.72,77.77,507.66
2024,KIN,J1,Low,0.01,0.01,0.049
2024,LIE,J1,Low,,,
2024,MLI,J1,Low,27.54,27.54,166.939
2024,HUA,J1,Low,4.01,3.16,13.056
2024,TTT,J1,Low,102.32,102.32,608.128
2024,TNN,J1,Low,815.04,812.93,4927.052
2024,TPE,J1,Low,,,
2024,TXG,J1,Low,1785.18,1777.26,11027.892
2024,PEN,J1,Low,,,
2024,TYN,J1,Low,0.46,,
2024,HSQ,J1,Low,3.52,3.52,22.175
2024,HSC,J1,Low,36.38,36.38,104.65
2024,NTP,J1,Low,,,
2024,CHA,J1,Low,876.2,859.07,4796.133
2024,PIF,J1,Low,469.98,463.18,2193.004
2024,ILA,J1,Low,1.71,0.14,0.744
2024,KEE,J1,Low,,,
2024,CYQ,J1,Low,925.86,925.86,7199.202
2024,CYI,J1,Low,47.06,47.06,72.199
2024,NTO,J1,Low,1322.37,1308.23,3066.717
2024,KHH,45,Low,2.03,2.03,21.771
2024,YUN,45,Low,3.15,3.15,19.19
2024,KIN,45,Low,,,
2024,LIE,45,Low,,,
2024,MLI,45,Low,536.96,536.96,6829.501
2024,HUA,45,Low,2.08,2.08,15.16
2024,TTT,45,Low,0.47,0.47,5.123
2024,TNN,45,Low,3.25,3.25,36.44
2024,TPE,45,Low,2.95,2.95,28.173
2024,TXG,45,Low,15.31,15.31,152.117
2024,PEN,45,Low,,,
2024,TYN,45,Low,5.72,5.72,65.667
2024,HSQ,45,Low,7.37,7.37,67.395
2024,HSC,45,Low,0.4,0.4,2.6
2024,NTP,45,Low,0.66,0.66,6.562
2024,CHA,45,Low,2.59,2.59,25.5
2024,PIF,45,Low,0.4,0.4,3.36
2024,ILA,45,Low,0.4,0.4,3.96
2024,KEE,45,Low,,,
2024,CYQ,45,Low,3.34,3.34,40.685
2024,CYI,45,Low,,,
2024,NTO,45,Low,10.46,10.46,83.466
2024,KHH,R1,Low,1898.71,1888.87,8199.331
2024,YUN,R1,Low,161.47,159.77,1735.558
2024,KIN,R1,Low,,,
2024,LIE,R1,Low,,,
2024,MLI,R1,Low,17.55,17.45,181.481
2024,HUA,R1,Low,116.62,84.12,610.457
2024,TTT,R1,Low,390.95,367.64,3119.83
2024,TNN,R1,Low,7203.55,7179.03,61914.224
2024,TPE,R1,Low,,,
2024,TXG,R1,Low,118.25,116.23,1148.107
2024,PEN,R1,Low,,,
2024,TYN,R1,Low,5.24,2.26,19.281
2024,HSQ,R1,Low,4.22,4.21,28.382
2024,HSC,R1,Low,1.4,1,11.4
2024,NTP,R1,Low,3.46,2.34,15.154
2024,CHA,R1,Low,164.32,153.06,1362.69
2024,PIF,R1,Low,5784.91,5640.72,49626.726
2024,ILA,R1,Low,9.28,5.94,57.62
