date,city_id,altitude,station_pressure,air_temperature,relative_humidity,wind_speed,precipitation,typhoon,typhoon_name
2020-01-01,CHA,Low,1019,16.7,78.8,1.9,0,0,
2020-01-01,CYI,Low,1019.7,18.6,76.6,0.8,0,0,
2020-01-01,CYQ,High,902.6,14.5,91.9,0.5,0.8,0,
2020-01-01,CYQ,Low,1020.7,17.5,79.1,1.3,0,0,
2020-01-01,HSC,Low,1018.9,15.6,78.6,1.9,0,0,
2020-01-01,HSQ,High,891,11,92.8,0.2,0.8,0,
2020-01-01,HSQ,Low,1015.3,15.1,80.3,4.2,0,0,
2020-01-01,HUA,High,945.3,13.1,95.1,0.8,3.4,0,
2020-01-01,HUA,Low,1010.7,17.4,87,0.7,0,0,
2020-01-01,ILA,High,892.4,9,97.5,1.7,3.7,0,
2020-01-01,ILA,Low,1027,14.2,99.2,1.4,5,0,
2020-01-01,KEE,Low,1022,14.9,97.9,2.1,5,0,
2020-01-01,KHH,High,941.9,17.3,83.6,1.5,0,0,
2020-01-01,KHH,Low,1018.8,19,86.3,1.3,0,0,
2020-01-01,KIN,Low,1024.2,14.5,68.6,4.7,0,0,
2020-01-01,LIE,Low,,,,,0,0,
2020-01-01,MLI,High,929.2,13.5,91.8,0.1,1,0,
2020-01-01,MLI,Low,1020.1,15.8,79.5,1.8,0,0,
2020-01-01,NTO,High,880.7,13.1,89.9,0.8,0.6,0,
2020-01-01,NTO,Low,973.2,17.6,88.4,0.6,0,0,
2020-01-01,NTP,High,947.6,11.2,99.7,3.2,8.7,0,
2020-01-01,NTP,Low,1020.8,15.7,91.6,3.3,0,0,
2020-01-01,PEN,Low,1022.8,17.4,79.6,6.7,0,0,
2020-01-01,PIF,High,907.9,13.8,95.9,1.7,0.4,0,
2020-01-01,PIF,Low,1016.2,19.8,90.6,1.2,0,0,
2020-01-01,TNN,Low,1024.3,18,98.3,2.1,0,0,
2020-01-01,TPE,High,903,8,99,2.6,3,0,
2020-01-01,TPE,Low,1027.4,16.7,70.2,2.1,0,0,
2020-01-01,TTT,High,908.2,12.2,95,1,1,0,
2020-01-01,TTT,Low,1002.8,17.4,83.4,2,0,0,
2020-01-01,TXG,High,940.8,14.4,97,0.9,0.2,0,
2020-01-01,TXG,Low,981.1,15,90.6,0.6,0,0,
2020-01-01,TYN,High,971.1,14.5,80,0.3,0,0,
2020-01-01,TYN,Low,1002.1,14.2,87,4,0,0,
2020-01-01,YUN,Low,1020.5,16.9,80.2,1.3,0,0,
2020-01-02,CHA,Low,1017.9,17.7,83.1,1.1,0,0,
2020-01-02,CYI,Low,1018.9,18.6,81.2,0.5,0,0,
2020-01-02,CYQ,High,902,13.6,84.8,0.6,0,0,
2020-01-02,CYQ,Low,1019.8,18,83.8,0.7,0,0,
2020-01-02,HSC,Low,1016.9,17.8,76.8,1.1,0,0,
2020-01-02,HSQ,High,890.4,12.4,70.2,0.1,0,0,
2020-01-02,HSQ,Low,1013.2,17.6,77.1,1.7,0,0,
