TransDate,MarketCode,MarketName,CropCode,CropName,CategoryCode,UpperPrice,MiddlePrice,LowerPrice,AveragePrice,TransVolume,TransAmount,Unit,County,Township,UpdateTime
2020.01.31,104,台北二,31,釋迦,N05,83.8,59.3,44.0,61.2,6270.0,,,,,
2020.01.31,104,台北二,32,釋迦-鳳梨釋迦,N05,79.7,54.8,46.7,58.2,3093.0,,,,,
2020.01.31,104,台北二,45,草莓,N05,146.6,84.2,59.7,91.8,3131.0,,,,,
2020.01.31,104,台北二,459,草莓-進口,N05,928.9,422.2,377.8,514.7,75.0,,,,,
2020.01.31,104,台北二,50,百香果-其他,N05,20.0,20.0,20.0,20.0,12.0,,,,,
2020.01.31,104,台北二,51,百香果-改良種,N05,88.1,37.6,9.7,42.1,2042.0,,,,,
2020.01.31,104,台北二,70,小番茄-其他,N05,55.8,42.0,15.2,39.4,4890.0,,,,,
2020.01.31,104,台北二,72,小番茄-聖女,N05,33.9,23.3,9.8,22.7,7527.0,,,,,
2020.01.31,104,台北二,74,小番茄-玉女,N05,155.6,94.6,45.8,97.1,7128.0,,,,,
2020.01.31,104,台北二,811,紅龍果-白肉,N05,95.9,64.7,45.8,67.2,1788.0,,,,,
2020.01.31,104,台北二,812,紅龍果-紅肉,N05,83.7,67.2,46.3,66.3,5183.0,,,,,
2020.01.31,104,台北二,91,其他,N05,71.8,45.8,10.4,43.9,102.0,,,,,
2020.01.31,104,台北二,919,其他-進口,N05,240.0,240.0,240.0,240.0,20.0,,,,,
2020.01.31,104,台北二,A0,香蕉-其他,N05,37.7,35.4,26.2,34.0,527.0,,,,,
2020.01.31,104,台北二,A1,香蕉,N05,38.1,32.1,21.5,31.2,13470.0,,,,,
2020.01.31,104,台北二,A2,香蕉-芭蕉紅芭蕉,N05,73.7,38.2,18.8,41.4,1942.0,,,,,
2020.01.31,104,台北二,A3,香蕉-旦蕉,N05,66.2,54.5,35.3,53.0,117.0,,,,,
2020.01.31,104,台北二,B2,鳳梨-金鑽鳳梨,N05,35.9,29.0,19.7,28.5,9323.0,,,,,
2020.01.31,104,台北二,B4,鳳梨-鳳梨花,N05,12.8,11.4,10.0,11.4,82.0,,,,,
2020.01.31,104,台北二,C0,柑橘-其他,N05,127.4,90.7,35.0,86.9,158.0,,,,,
2020.01.31,104,台北二,C1,椪柑,N05,48.9,21.9,11.5,25.2,3445.0,,,,,
2020.01.31,104,台北二,C9,柑橘-進口,N05,633.4,405.6,250.0,420.0,20.0,,,,,
2020.01.31,104,台北二,E1,甜橙-柳橙,N05,33.5,23.0,10.9,22.7,11027.0,,,,,
2020.01.31,104,台北二,F0,雜柑-其他,N05,20.0,18.5,15.6,18.2,34.0,,,,,
2020.01.31,104,台北二,F1,雜柑-檸檬,N05,96.7,67.7,27.8,65.5,535.0,,,,,
2020.01.31,104,台北二,F5,雜柑-無子檸檬,N05,128.3,91.7,53.6,91.4,1563.0,,,,,
2020.01.31,104,台北二,G49,奇異果-進口,N05,68.5,60.2,42.0,58.2,4579.0,,,,,
2020.01.31,104,台北二,H4,葡萄柚-紅肉,N05,35.0,32.4,24.0,31.3,618.0,,,,,
2020.01.31,104,台北二,I1,木瓜-網室紅肉,N05,29.7,19.3,13.8,20.3,34477.0,,,,,
2020.01.31,104,台北二,I2,木瓜-一般紅肉,N05,6.0,6.0,6.0,6.0,34.0,,,,,
2020.01.31,104,台北二,I3,木瓜-日昇種,N05,80.0,66.3,27.6,61.3,368.0,,,,,
2020.01.31,104,台北二,I4,木瓜-青木瓜,N05,20.1,12.3,3.0,12.0,578.0,,,,,
2020.01.31,104,台北二,L1,枇杷-茂木,N05,182.4,128.8,87.8,131.3,368.0,,,,,
2020.01.31,104,台北二,M3,楊桃-馬來亞種,N05,24.0,17.2,11.8,17.5,1926.0,,,,,
2020.01.31,104,台北二,O9,梨-其他進口,N05,85.3,61.7,43.2,62.7,2640.0,,,,,
2020.01.31,104,台北二,P1,番石榴-珍珠芭,N05,38.9,27.1,15.4,27.1,26490.0,,,,,
2020.01.31,104,台北二,P2,番石榴-紅心,N05,24.6,22.4,15.7,21.5,128.0,,,,,
2020.01.31,104,台北二,P3,番石榴-帝王芭,N05,79.1,32.8,20.9,39.7,746.0,,,,,
2020.01.31,104,台北二,P5,番石榴-水晶無子,N05,10.0,10.0,10.0,10.0,20.0,,,,,
2020.01.31,104,台北二,Q0,蓮霧-其他,N05,173.6,77.2,40.0,89.1,417.0,,,,,
2020.01.31,104,台北二,Q1,蓮霧-紅蓮霧,N05,133.1,71.4,30.1,75.5,13047.0,,,,,
2020.01.31,104,台北二,Q2,蓮霧-子彈型,N05,40.6,30.0,23.3,30.8,141.0,,,,,
2020.01.31,104,台北二,R0,芒果-其他,N05,50.0,49.3,40.0,47.6,25.0,,,,,
