年度,地區別,蔬果類別,種植面積_公頃,收穫面積_公頃
2024,新北市,蘋果,-,-
2024,臺北市,蘋果,-,-
2024,桃園市,蘋果,1.52,1
2024,臺中市,蘋果,155.2,155.2
2024,臺南市,蘋果,0.5,0.5
2024,高雄市,蘋果,0.02,0.02
2024,宜蘭縣,蘋果,-,-
2024,新竹縣,蘋果,0.2,0.2
2024,苗栗縣,蘋果,-,-
2024,彰化縣,蘋果,-,-
2024,南投縣,蘋果,22,22
2024,雲林縣,蘋果,-,-
2024,嘉義縣,蘋果,0.09,0.09
2024,屏東縣,蘋果,-,-
2024,臺東縣,蘋果,0.05,-
2024,花蓮縣,蘋果,1.35,1.35
2024,澎湖縣,蘋果,-,-
2024,基隆市,蘋果,-,-
2024,新竹市,蘋果,-,-
2024,嘉義市,蘋果,-,-
2024,金門縣,蘋果,0.02,0.02
2024,連江縣,蘋果,-,-
2023,新北市,蘋果,-,-
2023,臺北市,蘋果,-,-
2023,桃園市,蘋果,1.52,1
2023,臺中市,蘋果,155.2,155.2
2023,臺南市,蘋果,0.5,0.5
2023,高雄市,蘋果,0.02,0.02
2023,宜蘭縣,蘋果,-,-
2023,新竹縣,蘋果,0.2,0.2
2023,苗栗縣,蘋果,-,-
2023,彰化縣,蘋果,-,-
2023,南投縣,蘋果,22,22
2023,雲林縣,蘋果,-,-
2023,嘉義縣,蘋果,0.06,0.06
2023,屏東縣,蘋果,-,-
2023,臺東縣,蘋果,-,-
2023,花蓮縣,蘋果,0.75,0.75
2023,澎湖縣,蘋果,-,-
2023,基隆市,蘋果,-,-
2023,新竹市,蘋果,-,-
2023,嘉義市,蘋果,-,-
2023,金門縣,蘋果,0.02,0.02
2023,連江縣,蘋果,-,-
2022,新北市,蘋果,-,-
2022,臺北市,蘋果,-,-
2022,桃園市,蘋果,1.5,1
2022,臺中市,蘋果,155.2,155.2
2022,臺南市,蘋果,0.62,0.62
2022,高雄市,蘋果,0.02,0.02
2022,宜蘭縣,蘋果,-,-
2022,新竹縣,蘋果,0.2,0.2
2022,苗栗縣,蘋果,-,-
2022,彰化縣,蘋果,-,-
2022,南投縣,蘋果,22,22
2022,雲林縣,蘋果,-,-
2022,嘉義縣,蘋果,0.06,0.06
2022,屏東縣,蘋果,-,-
2022,臺東縣,蘋果,-,-
2022,花蓮縣,蘋果,1.25,1.25
2022,澎湖縣,蘋果,-,-
2022,基隆市,蘋果,-,-
2022,新竹市,蘋果,-,-
2022,嘉義市,蘋果,-,-
2022,金門縣,蘋果,0.02,0.02
2022,連江縣,蘋果,-,-
2021,新北市,蘋果,-,-
2021,臺北市,蘋果,-,-
2021,桃園市,蘋果,1,1
2021,臺中市,蘋果,155.2,155.2
2021,臺南市,蘋果,0.62,0.62
2021,高雄市,蘋果,-,-
2021,宜蘭縣,蘋果,-,-
2021,新竹縣,蘋果,-,-
2021,苗栗縣,蘋果,-,-
2021,彰化縣,蘋果,-,-
2021,南投縣,蘋果,28.1,28.1
2021,雲林縣,蘋果,-,-
2021,嘉義縣,蘋果,0.06,0.06
2021,屏東縣,蘋果,-,-
2021,臺東縣,蘋果,-,-
2021,花蓮縣,蘋果,1.25,1.25
2021,澎湖縣,蘋果,-,-
2021,基隆市,蘋果,-,-
2021,新竹市,蘋果,-,-
2021,嘉義市,蘋果,-,-
2021,金門縣,蘋果,0.02,0.02
2021,連江縣,蘋果,-,-
2020,新北市,蘋果,-,-
2020,臺北市,蘋果,-,-
2020,桃園市,蘋果,1,-
2020,臺中市,蘋果,152.2,152.2
2020,臺南市,蘋果,-,-
2020,高雄市,蘋果,0.02,0.02
2020,宜蘭縣,蘋果,-,-
2020,新竹縣,蘋果,-,-
2020,苗栗縣,蘋果,-,-
2020,彰化縣,蘋果,-,-
2020,南投縣,蘋果,38.5,38.5
2020,雲林縣,蘋果,-,-
2020,嘉義縣,蘋果,0.06,0.06
2020,屏東縣,蘋果,-,-
2020,臺東縣,蘋果,-,-
2020,花蓮縣,蘋果,1.19,1.19
2020,澎湖縣,蘋果,-,-
2020,基隆市,蘋果,-,-
2020,新竹市,蘋果,-,-
2020,嘉義市,蘋果,-,-
2020,金門縣,蘋果,0.02,0.02
2020,連江縣,蘋果,-,-
