ObsTime,avg_price_per_kg,vege_id,StnPres,Temperature,RH,WS,Precp,typhoon
2022-01-01,63.78,20,1017.27,18.49,73.01,3.05,0.03,0
2022-01-01,72.64,60,978.47,16.8,76.86,1.34,0.03,0
2022-01-01,22.39,11,1022.4,17.7,74.0,3.8,0.0,0
2022-01-01,60.1,38,949.89,14.49,82.06,1.25,0.0,0
2022-01-01,86.75,24,1020.08,19.0,78.75,1.88,0.73,0
2022-01-01,36.43,44,994.91,16.84,82.9,1.63,1.03,0
2022-01-01,90.7,15,1016.58,17.06,76.34,3.04,0.0,0
2022-01-01,64.75,59,1022.8,17.4,79.0,4.0,0.0,0
2022-01-01,62.66,49,1021.53,18.03,73.27,3.69,0.01,0
2022-01-01,49.87,25,930.0,13.7,82.9,0.5,0.0,0
2022-01-01,34.73,40,1021.16,17.79,74.71,3.8,0.0,0
2022-01-01,162.35,26,999.18,16.72,76.95,2.49,0.0,0
2022-01-01,21.57,1,1017.76,17.47,75.06,3.22,0.0,0
2022-01-01,101.19,35,1022.4,17.7,74.0,3.8,0.0,0
2022-01-01,84.1,23,1022.63,17.48,77.51,3.71,0.11,0
2022-01-01,224.56,28,1022.05,17.62,76.3,3.89,0.0,0
2022-01-01,48.75,19,1022.4,17.7,74.0,3.8,0.0,0
2022-01-01,48.76,55,1013.88,17.98,73.95,3.0,0.01,0
2022-01-01,35.18,18,1022.54,17.54,76.86,3.91,0.0,0
2022-01-02,63.84,20,1015.6,18.69,74.18,3.21,0.06,0
2022-01-02,71.26,60,976.82,16.87,76.6,1.37,0.05,0
2022-01-02,17.61,11,1020.6,17.9,75.1,4.0,0.0,0
2022-01-02,52.18,38,948.03,14.61,79.5,1.59,0.0,0
2022-01-02,89.28,24,1018.8,19.43,78.41,1.75,0.78,0
2022-01-02,38.0,44,993.43,17.12,80.19,1.76,0.13,0
2022-01-02,80.74,15,1014.85,17.25,76.62,3.35,0.0,0
2022-01-02,63.69,59,1020.7,17.6,79.5,5.2,0.0,0
2022-01-02,74.29,49,1019.78,17.9,77.74,3.09,0.02,0
2022-01-02,51.86,25,928.2,13.8,79.5,0.6,0.0,0
2022-01-02,38.61,40,1019.45,17.72,79.61,3.29,0.0,0
2022-01-02,133.7,26,997.4,16.66,78.57,2.38,0.0,0
2022-01-02,25.63,1,1016.06,17.66,75.74,3.47,0.0,0
2022-01-02,90.86,35,1020.6,17.9,75.1,4.0,0.0,0
2022-01-02,87.0,23,1020.76,17.63,78.03,4.42,0.02,0
2022-01-02,179.0,28,1020.16,17.67,79.01,4.14,0.0,0
2022-01-02,80.88,19,1020.6,17.9,75.1,4.0,0.0,0
2022-01-02,40.08,55,1012.16,17.98,76.78,2.79,0.03,0
2022-01-02,33.12,18,1020.58,17.72,77.88,4.63,0.0,0
2022-01-03,15.0,20,1014.31,18.99,74.83,3.09,0.03,0
2022-01-03,79.57,60,975.78,17.38,76.44,1.29,0.03,0
2022-01-03,71.0,24,1017.51,19.81,77.16,1.74,0.06,0
2022-01-03,65.1,59,1019.6,17.9,80.0,4.8,0.0,0
2022-01-03,21.7,1,1014.66,18.11,75.81,3.4,0.0,0
2022-01-03,156.7,35,1019.2,18.2,76.4,3.9,0.0,0
2022-01-03,55.07,55,1010.94,18.33,76.76,2.71,0.01,0
2022-01-03,41.8,18,1019.35,18.01,78.6,4.36,0.0,0
2022-01-03,12.88,11,1019.2,18.2,76.4,3.9,0.0,0
2022-01-03,91.92,15,1013.47,17.8,76.32,3.3,0.0,0
2022-01-03,67.83,19,1019.2,18.2,76.4,3.9,0.0,0
2022-01-03,109.5,23,1019.5,18.04,78.59,4.17,0.0,0
2022-01-03,62.27,25,927.4,14.5,79.4,0.6,0.0,0
2022-01-03,207.4,26,996.23,17.12,78.73,2.3,0.0,0
2022-01-03,257.6,28,1018.95,17.95,79.06,3.95,0.0,0
2022-01-03,65.45,38,947.16,15.23,79.53,1.5,0.0,0
2022-01-03,41.47,40,1018.14,17.93,78.96,3.28,0.0,0
2022-01-03,47.0,44,992.24,17.66,80.57,1.73,0.27,0
2022-01-03,100.83,49,1018.55,18.22,77.54,3.08,0.01,0
2022-01-04,72.45,20,1013.31,19.41,78.57,2.58,0.64,0
2022-01-04,66.47,60,974.82,17.73,78.03,1.16,0.55,0
2022-01-04,23.7,11,1018.2,18.6,80.4,3.1,0.0,0
2022-01-04,70.37,38,946.16,15.57,79.42,1.37,0.0,0
2022-01-04,86.3,24,1016.38,20.4,80.05,1.67,7.27,0
2022-01-04,43.67,44,991.34,18.17,83.28,1.33,1.25,0
2022-01-04,94.58,15,1012.27,18.27,80.5,2.9,0.0,0
2022-01-04,69.77,59,1018.2,18.4,85.0,4.2,0.0,0
2022-01-04,69.93,49,1017.49,18.64,81.73,2.33,0.2,0
2022-01-04,54.31,25,926.5,14.8,77.9,0.6,0.0,0
2022-01-04,37.26,40,1017.14,18.51,82.96,2.48,0.0,0
2022-01-04,106.1,26,995.17,17.49,81.62,1.79,0.0,0
2022-01-04,25.86,1,1013.59,18.54,80.08,2.87,0.0,0
2022-01-04,103.05,35,1018.2,18.6,80.4,3.1,0.0,0
2022-01-04,83.57,23,1018.29,18.41,83.83,3.5,0.65,0
2022-01-04,287.12,28,1017.76,18.44,83.56,3.24,0.0,0
2022-01-04,29.38,19,1018.2,18.6,80.4,3.1,0.0,0
2022-01-04,36.15,55,1009.91,18.74,80.55,2.17,0.3,0
2022-01-04,37.64,18,1018.13,18.48,83.16,3.68,0.0,0
2022-01-05,65.14,20,1011.2,19.94,81.22,2.14,1.31,0
2022-01-05,67.75,60,972.88,18.38,82.23,1.04,1.13,0
2022-01-05,16.73,11,1016.3,18.6,84.4,2.5,0.0,0
2022-01-05,68.09,38,944.61,15.51,87.16,0.94,0.0,0
2022-01-05,94.32,24,1013.65,21.37,82.06,1.55,2.48,0
2022-01-05,43.55,44,988.88,19.08,86.16,1.38,0.4,0
2022-01-05,94.1,15,1010.4,18.23,85.74,2.02,0.05,0
2022-01-05,61.14,59,1016.5,18.5,88.5,2.9,0.0,0
2022-01-05,71.2,49,1015.42,19.32,84.84,2.73,0.41,0
2022-01-05,60.25,25,925.0,14.7,86.8,0.4,0.0,0
2022-01-05,37.11,40,1015.06,19.31,85.55,2.94,0.0,0
2022-01-05,185.9,26,993.32,17.9,85.96,1.79,0.0,0
2022-01-05,23.14,1,1011.66,18.62,84.47,2.15,0.03,0
2022-01-05,99.57,35,1016.3,18.6,84.4,2.5,0.0,0
2022-01-05,74.37,23,1016.33,18.59,86.7,2.6,0.0,0
2022-01-05,251.1,28,1015.87,18.85,86.78,2.87,0.0,0
2022-01-05,49.13,19,1016.3,18.6,84.4,2.5,0.0,0
2022-01-05,39.66,55,1007.86,19.44,83.18,2.19,0.62,0
2022-01-05,34.04,18,1016.33,18.59,86.78,2.75,0.0,0
2022-01-06,66.01,20,1012.12,19.13,77.8,4.75,2.85,0
2022-01-06,61.89,60,973.47,17.93,83.12,2.03,3.08,0
2022-01-06,15.96,11,1017.3,18.0,78.1,5.7,1.5,0
2022-01-06,77.35,38,944.96,15.78,87.24,2.01,1.81,0
2022-01-06,85.46,24,1015.9,19.63,82.75,3.06,6.44,0
2022-01-06,34.35,44,990.81,17.84,84.93,2.31,1.65,0
2022-01-06,89.43,15,1012.0,17.17,80.87,4.77,3.47,0
2022-01-06,59.9,59,1017.4,17.9,81.5,7.2,2.2,0
2022-01-06,73.16,49,1016.41,18.69,79.41,4.34,0.68,0
2022-01-06,54.99,25,925.2,15.2,88.8,0.6,1.7,0
2022-01-06,35.9,40,1016.06,18.62,80.84,4.37,0.17,0
2022-01-06,164.05,26,994.16,17.43,82.8,3.36,1.85,0
2022-01-06,21.21,1,1012.97,17.77,79.45,4.91,2.14,0
2022-01-06,97.14,35,1017.3,18.0,78.1,5.7,1.5,0
2022-01-06,72.5,23,1017.61,17.84,80.56,6.19,2.39,0
2022-01-06,277.15,28,1016.82,18.23,80.74,5.68,1.12,0
2022-01-06,41.83,19,1017.3,18.0,78.1,5.7,1.5,0
2022-01-06,31.65,55,1008.75,18.69,80.17,3.97,1.91,0
2022-01-06,31.28,18,1017.27,17.99,80.2,6.45,1.8,0
2022-01-07,60.49,20,1014.04,18.16,76.76,4.33,1.37,0
2022-01-07,66.12,60,975.32,17.16,85.43,1.94,4.03,0
2022-01-07,25.33,11,1019.3,16.5,77.9,5.1,2.4,0
2022-01-07,53.41,38,946.85,14.58,93.17,1.82,8.81,0
2022-01-07,88.13,24,1017.61,19.11,81.88,2.58,2.24,0
2022-01-07,38.4,44,992.42,16.79,85.01,2.15,3.04,0
2022-01-07,82.42,15,1013.8,15.99,79.03,4.41,2.38,0
2022-01-07,59.36,59,1019.6,16.7,79.5,6.3,3.0,0
2022-01-07,65.77,49,1018.39,17.12,82.36,4.05,0.73,0
2022-01-07,53.51,25,927.0,14.0,96.9,0.6,10.4,0
2022-01-07,35.78,40,1018.06,16.94,83.91,4.22,0.98,0
2022-01-07,60.0,26,996.13,16.11,85.32,3.07,3.0,0
2022-01-07,20.71,1,1014.84,16.53,78.34,4.49,2.09,0
2022-01-07,99.17,35,1019.3,16.5,77.9,5.1,2.4,0
2022-01-07,74.63,23,1019.69,16.47,79.87,5.4,2.77,0
